1699778704, 2, , <UNAVAIL>, WEBSTER COUNTY MEMORIAL HOSPITAL, , , , , , , , , , , , , , , , PO BOX 312, 324 MILLER MOUNTAIN DRIVE, WEBSTER SPRINGS, WV, 26288, US, 3048475682, 3048475985, 324 MILLER MOUNTAIN DR, , WEBSTER SPRINGS, WV, 262881026, US, 3048475682, 3048475985, 05/23/2005, 07/20/2015, , , , , RIFFLE, TINA, LOUISE, CREDENTIALING, 3048475682, 282NC0060X, 1449, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1053679282, 01, WV, NPI, 1255661955, 01, WV, NPI, 1437453719, 01, WV, NPI, 1730415332, 01, WV, NPI, 1639264582, 01, WV, NPI, 1720243769, 01, WV, NPI, 1992078380, 01, WV, NPI, 1174788111, 01, WV, NPI, 1013203058, 01, WV, NPI, 1760776272, 01, WV, NPI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN, , , , , , , , , , , , , , , , 
1407854466, 2, , <UNAVAIL>, LIMESTONE REGIONAL EMERGENCY SERVICE INC, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, RR 1 BOX 217A, , MOUNDSVILLE, WV, 260419725, US, 3048452303, , 07/13/2005, 08/19/2010, , , , , GALLOWAY, HARRY, , CHIEF, 3048452303, 3416L0300X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001704993, 01, WV, BLUE CROSS, 590008234, 01, WV, RAILROAD MEDICARE, =========, 01, WV, TRICARE, =========00, 01, OH, OH WORKERS COMP, 221725, 01, WV, CARELINK, =========00, 01, WV, WV WORKERS COMP, 0145882000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1598763401, 2, , <UNAVAIL>, CLAY COUNTY EMERGENCY AMBULANCE, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 216 MAIN ST, , CLAY, WV, 25043, US, 3045872554, , 07/13/2005, 07/08/2007, , , , , ADKINS, MITZI, , CHIEF, 3045872554, 341600000X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0145262000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1700884764, 2, , <UNAVAIL>, LITTLE LEVELS EMERGENCY AMBULANCE PATROL INC, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, ROUTE 219, , HILLSBORO, WV, 24946, US, 3046534218, 3045224222, 07/13/2005, 01/24/2012, , , , , MCNEEL, DON, , CHIEF, 3046534218, 3416L0300X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001705381, 01, WV, BLUE CROSS, 0145629000, 05, WV, , =========, 01, WV, TRICARE, 5505878800, 01, WV, WV WORKERS COMP, 590008323, 01, WV, RAILROAD MEDICARE, 5505878800, 01, OH, OH WORKERS COMP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1528066511, 2, , <UNAVAIL>, MASON COUNTY EMERGENCY AMBULANCE SERVICE AUTHORITY, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 911 EMERGENCY DRIVE, , PT PLEASANT, WV, 255502005, US, 3046756134, 3046757433, 07/13/2005, 10/17/2012, , , , , BLAKE, CHUCK, , CHIEF, 3046756134, 341600000X, WV EMS, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========00, 01, WV, OHIO WORKERS COMP, 2196556, 05, OH, , 590013584, 01, WV, RAILROAD MEDICARE, 001705580, 01, WV, BLUE CROSS BLUE SHIELD, 080025800, 01, WV, BLACK LUNG, 9000056000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1962400960, 2, , <UNAVAIL>, MARLINTON VOLUNTEER FIRE DEPARTMENT, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 709 2ND AVE, , MARLINTON, WV, 249541112, US, 3047994211, 3047994215, 07/13/2005, 10/17/2012, , , , , DUNBRACK, TOM, , CHIEF, 3047994211, 3416L0300X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 318807, 01, VA, BLUE CROSS, 001705616, 01, WV, BLUE CROSS, 0145376000, 05, WV, , =========, 01, WV, WV WORKERS COMP, 089276800, 01, WV, BLACK LUNG, 406590859, 01, WV, RAILROAD MEDICARE, =========, 01, WV, TRICARE, 224786, 01, WV, CARELINK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1245238237, 2, , <UNAVAIL>, GRANT MEMORIAL HOSPITAL, , , , , , , POTOMAC VALLEY FAMILY MEDICINE-PETERSBURG, 3, , , , , , , , PO BOX 1019, , PETERSBURG, WV, 268471019, US, 3042571026, 3042571932, 8 LEE ST, SUITE 3, MOOREFIELD, WV, 268361091, US, 3045387707, 3045387706, 07/13/2005, 07/09/2007, , , , , MICHAELS, SANDY, M, CHIEF FINANCIAL OFFICER, 3052571026, 261QM1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0001375015, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1346248283, 2, , <UNAVAIL>, GRANT MEMORIAL HOSPITAL, , , , , , , POTOMAC ORTHOPEDIC ASSOCIATES, 3, , , , , , , , PO BOX 1019, , PETERSBURG, WV, 268471019, US, 3042571026, 3042571932, 10 VALLEY VIEW ST, SUITE 101, PETERSBURG, WV, 268479543, US, 3042579785, 3042579790, 07/13/2005, 07/09/2007, , , , , MICHAELS, SANDY, M, CHIEF FINANCIAL OFFICER, 3042571026, 261QM2500X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0206987000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1326046228, 2, , <UNAVAIL>, CAMERON VOLUNTEER EMERGENCY SQUAD INC, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 69 PENNSYLVANIA AVE, , CAMERON, WV, 260331113, US, 3046862707, , 07/13/2005, 10/08/2015, , , , , HOWARD, BETH, ANN, CHIEF, 3046862707, 341600000X, , WV, N, 3416L0300X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 225006, 01, WV, CARELINK, 550771821001, 01, WV, TRICARE, 590014171, 01, WV, RAILROAD MEDICARE, 0145244000, 05, WV, , 2219987, 05, OH, , 550771821, 01, WV, WV WORKERS COMPE, 001705582, 01, WV, BLUE CROSS, 55077182100, 01, OH, OH WORKERS COMP, 550771821, 01, OH, ANTHEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1992703896, 2, , <UNAVAIL>, BURLINGTON VOL FIRE DEPT INC, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, RT. 50 EAST, , BURLINGTON, WV, 26710, US, 3042893032, , 07/13/2005, 10/17/2016, , , , , HAGGERTY, ROBERT, A, CHIEF, 3042893032, 341600000X, N/A, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001705612, 01, WV, BLUE CROSS, 590012972, 01, WV, RAILROAD MEDICARE, =========001, 01, WV, TRICARE, 0054010000, 05, WV, , =========001, 01, WV, WV WORKERS COMP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1760480669, 2, , <UNAVAIL>, BARTOW- FRANK- DURBIN VOLUNTEER FIRE COMPANY AND RESCUE SQUAD, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 1ST STREET 4TH AVE, , DURBIN, WV, 26264, US, 3044564893, , 07/13/2005, 01/04/2012, , , , , GHIGO, JANET, , CHIEF, 3044564893, 341600000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 590008948, 01, WV, RAILROAD MEDICARE, 001705255, 01, WV, BLUE CROSS, 0144768000, 05, WV, , =========, 01, WV, TRICARE, 223876, 01, WV, CARELINK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1346248259, 2, , <UNAVAIL>, BETHANY VOLUNTEER FIRE DEPARTMENT, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 2619 WEST LIBERTY ROAD, , BETHANY, WV, 26032, US, 3048297744, , 07/13/2005, 08/24/2016, , , , , SCOTT, MICHELLE, , CHIEF, 3048294504, 341600000X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001705335, 01, WV, BLUE CROSS BLUE SHIELD, 089879600, 01, WV, BLACK LUNG, 55052861200, 01, WV, WV WORKERS COMP, 0145808000, 05, WV, , 550528612, 01, WV, TRICARE, 55052861200, 01, OH, OH WORKERS COMP, 590008637, 01, WV, RAILROAD MEDICARE, 405089400, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1740288653, 2, , <UNAVAIL>, ALDERSON VOLUNTEER FIRE DEPARTMENT INC, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 109 RAILROAD AVENUE, , ALDERSON, WV, 249109382, US, 3044452022, , 07/13/2005, 04/20/2008, , , , , LOBBAN, CHARLES, , CHIEF, 3044452022, 341600000X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0145678000, 05, WV, , =========, 01, WV, TRICARE, =========00, 01, WV, WV WORKERS COMP, =========00, 01, OH, OH WORKERS COMP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1235138090, 2, , <UNAVAIL>, FORK RIDGE COMMUNITY VOLUNTEER FIRE, , , , , , , FORK RIDGE VFD, 3, , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 3045211576, 3045211768, 354 SAWMILL LN, , GLEN EASTON, WV, 260391547, US, 3048453990, , 07/14/2005, 06/03/2015, , , , , WHEELER, MIKE, , PROVIDER RELATIONS SPECIALIST, 3045211576, 341600000X, , WV, N, 341600000X, WV0EMS, WV, N, 3416L0300X, WV0EMS, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 225257, 01, WV, CARELINK, 590014570, 01, WV, RAILROAD MEDICARE, 8002019000, 05, WV, , 2516601, 05, OH, , 001705594, 01, WV, BLUE CROSS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1003815861, 2, , <UNAVAIL>, FORT GAY VOLUNTEER FIRE DEPARTMENT, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 3045227533, 3045224222, 3014 COURT ST, , FORT GAY, WV, 25514, US, 3046485325, , 07/14/2005, 04/20/2008, , , , , SAMMONS, BART, , CHIEF, 3046485325, 341600000X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, WV, TRICARE, =========002, 01, WV, WV WORKERS COMP, 0145847000, 05, WV, , =========00, 01, OH, OH WORKERS COMP, 55000251, 05, KY, , =========001, 01, KY, ANTHEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1356349161, 2, , <UNAVAIL>, GRANT MEMORIAL HOSPITAL, , , , , , , HIGHLAND MEDICAL ASSOCIATES, 3, , , , , , , , PO BOX 1019, , PETERSBURG, WV, 268471019, US, 3042571026, 3042571932, 1 HOSPITAL DRIVE, , PETERSBURG, WV, 26847, US, 3042572556, 3042572615, 07/14/2005, 07/09/2007, , , , , MICHAELS, SANDY, M., CHIEF FINANCIAL OFFICER, 3042571026, 261QM2500X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0001375019, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1083613855, 2, , <UNAVAIL>, RADIOTHERAPY INC., , , , , , , , , , , , , , , , PO BOX 779, , PARKERSBURG, WV, 261020779, US, 3044221430, 3044854466, 705 GARFIELD AVE, SUITE 180, PARKERSBURG, WV, 261015444, US, 3044221430, 3044854466, 07/14/2005, 04/20/2008, , , , , SEKAR, CHANDRA, S, PRESIDENT, 3044221430, 2085R0001X, =========, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1346249117, 2, , <UNAVAIL>, NORTHERN GREENBRIER AMBULANCE SERVICE INC, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257010000, US, 3045211576, 3045211768, ROUTE 219 BOX 74, , RENICK, WV, 249660000, US, 3044974334, , 07/14/2005, 10/19/2012, , , , , BOGGS, CHRIS, , CHIEF, 3044974334, 3416L0300X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 080247600, 01, WV, BLACK LUNG, 0145418000, 05, WV, , 001705371, 01, WV, BCBS, 5508079600, 01, WV, WV WORKERS COMP, 55080796, 01, WV, TRICARE, 224444, 01, WV, CARELINK, 590011733, 01, WV, RR MEDICARE, 5508079600, 01, OH, OH WORKERS COMP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1326046194, 2, , <UNAVAIL>, BLUE RIDGE MT. VOLUNTEER FIRE CO., , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 181 KEYES GAP RD, , HARPERS FERRY, WV, 254254639, US, 3047288006, , 07/14/2005, 04/20/2008, , , , , EDWARDS, TERESA, , CHIEF, 3047288006, 341600000X, N/A, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0145180000, 05, WV, , =========, 01, WV, TRICARE, 278115, 01, VA, BLUE CROSS, =========00, 01, WV, WV WORKERS COMP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1720087596, 2, , <UNAVAIL>, CHARLESTON PATHOLOGY ASSOCIATES PLLC, , , , , , , , , , , , , , , , PO BOX 611, , CHARLESTON, WV, 253220611, US, , , 333 LAIDLEY ST, , CHARLESTON, WV, 253011614, US, 3043476694, , 07/14/2005, 08/10/2007, , , , , SOBIESKI, MICHAEL, W, MD MEMBER, 3043476694, 207ZP0102X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0204612000, 05, WV, , CH9446, 01, , RAILROAD MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1447259247, 2, , <UNAVAIL>, FRIENDSHIP FIRE COMPANY, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 1000 WASHINGTON STREET, , HARPER'S FERRY, WV, 25425, US, 3045352211, 3045351382, 07/14/2005, 10/25/2012, , , , , WILT, STEVE, , CHIEF, 3045352211, 341600000X, N/A, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 000220593, 01, , BLUE CROSS BLUE SHIELD, =========00, 01, OH, OH WORKERS COMP, 405088600, 05, MD, , 080244800, 01, WV, BLACK LUNG, 151111, 01, WV, CARELINK, 590000349, 01, WV, RAILROAD MEDICARE, =========, 01, WV, TRICARE, =========00, 01, WV, WV WORKERS COMP, 0145794000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1396744108, 2, , <UNAVAIL>, GRANT MEMORIAL HOSPITAL, , , , , , , POTOMAC VALLEY PHYSICIANS FOR WOMEN, 3, , , , , , , , PO BOX 1019, , PETERSBURG, WV, 268471019, US, 3042571026, 3042571932, HOSPITAL DRIVE, , PETERSBURG, WV, 26847, US, 3042572152, 3042572928, 07/14/2005, 01/26/2017, , , , , BARR, MARY, BETH, CEO, 3042571026, 261QM1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0206602000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1912905720, 2, , <UNAVAIL>, SELECT SPECIALTY HOSPITAL - CHARLESTON INC, , , , , , , , , , , , , , , , 4714 GETTYSBURG RD, LEGAL DEPT., MECHANICSBURG, PA, 170554325, US, 7179721100, 7179759981, 333 LAIDLEY ST, , CHARLESTON, WV, 253011614, US, 3043886670, 3043886675, 07/14/2005, 09/02/2010, , , , , TARVIN, MICHAEL, E., VICE PRESIDENT, 7179721100, 282E00000X, 160, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========01, 01, WV, BCBS WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1821096637, 2, , <UNAVAIL>, GRANT MEMORIAL HOSPITAL, , , , , , , MT TOP MEDICAL CENTER, 3, , , , , , , , PO BOX 1019, , PETERSBURG, WV, 268471019, US, 3042571026, 3042571932, STATE ROUTE 55W, , MT STORM, WV, 26739, US, 3046937616, , 07/14/2005, 07/09/2007, , , , , MICHAELS, SANDY, M, CHIEF FINANCIAL OFFICER, 3042571026, 261Q00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0001375018, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1336148170, 2, , <UNAVAIL>, DRY FORK SQUAD, , , , , , , , , , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, ROUTE 16 MAIN ST, , WAR, WV, 24892, US, 3048752230, , 07/14/2005, 04/20/2008, , , , , HICKS, SHEREE, , PRESIDENT, 3048752230, 341600000X, , WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========00, 01, WV, WV WORKER COMP, 0145171000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
