1619970795, 2, , <UNAVAIL>, SWEET MEDICAL CENTER INC, , , , , , , , , , , , , , , , PO BOX 309, , CHINOOK, MT, 595230309, US, 4063572403, 4063573252, 419 PENNSYLVANIA ST, , CHINOOK, MT, 595230309, US, 4063572403, 4063573252, 05/23/2005, 01/05/2012, , , , , PAYNE, JARED, N, EXECUTIVE DIRECTOR, 4063572403, 261QF0400X, 9791, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 730354, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , MBA, , , , , , , , , , , , , , , , 
1699765552, 2, , <UNAVAIL>, PONDERA MEDICAL CENTER, , , , , , , PONDERA HOME HEALTH AGENCY, 3, , , , , , , , PO BOX 758, , CONRAD, MT, 594250758, US, 4062713211, , 805 SUNSET BLVD, , CONRAD, MT, 594251717, US, 4062713211, , 10/24/2005, 07/25/2013, , , , , OGBURN, WAYNE, , CEO, 4062713211, 251E00000X, 10050, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1962492694, 2, , <UNAVAIL>, PONDERA MEDICAL CENTER, , , , , , , , , , , , , , , , PO BOX 758, , CONRAD, MT, 594250758, US, 4062715566, 4062715569, 805 SUNSET BLVD, , CONRAD, MT, 594251721, US, 4062715566, 4062715569, 10/25/2005, 07/25/2013, , , , , OGBURN, WAYNE, , CEO, 4062713211, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5605546, 05, MT, , 000031170, 01, MT, BCBS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1164413225, 2, , <UNAVAIL>, JOHN SCHNEIDER JR MD PC, , , , , , , NORTHERN ROCKIES NEURO-SPINE, 3, , , , , , , , 449 MOUNTAIN VIEW ST, , POWELL, WY, 824352232, US, 3077544559, 3077547733, 2877 OVERLAND AVE, , BILLINGS, MT, 591027469, US, 4066518197, , 10/28/2005, 12/05/2007, , , , , SCHNEIDER, JOHN, H, PRESIDENT, 4066518197, 207T00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 05777001, 01, WY, BLUE CROSS BLUE SHEILD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1356332266, 2, , <UNAVAIL>, CHOUTEAU COUNTY DISTRICT HOSPITAL, , , , , , , MISSOURI RIVER MED CTR; BENTON MED CTR; GERALDINE CLINIC, 3, , , , , , , , PO BOX 249, , FORT BENTON, MT, 594420249, US, 4066223331, 4066225670, 1501 SAINT CHARLES, , FORT BENTON, MT, 59442, US, 4066223331, 4066225670, 10/31/2005, 01/25/2017, , , , , WOODHOUSE, JANICE, J, CHIEF OPERATING OFFICER, 4066226162, 282NC0060X, 10238, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 60272, 01, MT, BLUE CROSS BLUE SHIELD, 414492, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN, , , , , , , , , , , , , , , , 
1720079619, 2, , <UNAVAIL>, BOZEMAN DEACONESS HEALTH SERVICES, , , , , , , BOZEMAN DEACONESS HOSPITAL, 3, , , , , , , , 915 HIGHLAND BLVD, , BOZEMAN, MT, 597156902, US, 4065855000, 4065851071, 915 HIGHLAND BLVD, , BOZEMAN, MT, 597156902, US, 4065855000, 4065851071, 10/31/2005, 04/20/2008, , , , , DAVIDSON, GORDON, , CHIEF FINANCIAL OFFICER, 4065851036, 282N00000X, 10214, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 661670, 01, , BLUE CROSS ST, 0411047, 05, GA, , 0572792, 05, IA, , 411047, 05, MT, , =========001, 05, IL, , HS673IP, 05, AK, , BOZ0057N, 05, AL, , 94405, 01, MT, BLUE CROSS LAB & X-RAY, 026337, 05, AZ, , 95016697, 05, CO, , 61718, 01, , BLUE CROSS PT, 1703290, 05, LA, , 661660, 01, , BLUE CROSS OT, XHSP30703, 05, CA, , 00042, 01, MT, BLUE CROSS HOSPITAL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1598756322, 2, , <UNAVAIL>, COUNTY OF TETON, , , , , , , , , , , , , , , , PO BOX 317, , CHOTEAU, MT, 594220317, US, 4064665338, 4064665898, 24 MAIN AVE N, , CHOTEAU, MT, 59422, US, 4064665338, 4064665898, 11/01/2005, 12/14/2012, , , , , WOLBAUM, ARLENE, RENEE, ADMINISTRATOR, 4064665338, 313M00000X, 10074, MT, N, 314000000X, 10074, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 31-8604, 05, MT, , 27-5075, 01, MT, MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1316928401, 2, , <UNAVAIL>, TOOLE COUNTY, , , , , , , MARIAS MEDICAL CENTER, 3, , , , , , , , PO BOX 915, , SHELBY, MT, 594740915, US, , , 640 PARK AVE, , SHELBY, MT, 594741663, US, 4064343200, , 11/07/2005, 06/12/2008, , , , , HEYDON, MARCIA, , BUSINESS OFFICE MANGER, 4064343200, 332BX2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0560976, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1992786784, 2, , <UNAVAIL>, EASTERN MONTANA COMMUNITY MENTAL HEALTH CENTER, , , , , , , , , , , , , , , , PO BOX 1530, , MILES CITY, MT, 593011530, US, 4062340234, 4062340235, 2508 WILSON ST, , MILES CITY, MT, 593015000, US, 4062341687, 4062341698, 11/08/2005, 08/21/2007, , , , , LANE, FRANK, L, EXECUTIVE DIRECTOR, 4062340234, 261QM0801X, 10392, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0502418, 05, MT, , 75031, 01, MT, BS/BS PROVIDER #, 0439212, 05, MT, , 0320112, 05, MT, , 0255527, 05, MT, , 0491470, 05, MT, , 0290147, 05, MT, , 0402142, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1992786933, 2, , <UNAVAIL>, DAHL MEMORIAL HEALTHCARE ASSOCIATION, , , , , , , , , , , , , , , , PO BOX 46, , EKALAKA, MT, 593240046, US, 4067758730, 4067756706, 215 SANDY ST, , EKALAKA, MT, 59324, US, 4067758730, 4067756706, 11/08/2005, 07/09/2007, , , , , ENOS, CINDY, K, SOCIAL SERVICES DIRECTOR, 4067758730, 314000000X, 9952, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 31-8981, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , SS, , , , , , , , , , , , , , , , 
1962483610, 2, , <UNAVAIL>, WHOLISTIC CHIROPRACTIC PC, , , , , , , , , , , , , , , , 436 S 3RD ST W, , MISSOULA, MT, 598012520, US, 4067287777, 4065498352, 436 S 3RD ST W, , MISSOULA, MT, 598012520, US, 4067287777, 4065498352, 11/09/2005, 07/08/2007, , , , , CLOS, CHERIE, A, OFFICE MANAGER, 4067287777, 111N00000X, 577CHI, MT, Y, 111N00000X, 588CHI, MT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1841271194, 2, , <UNAVAIL>, JANINE HIEB LAC LCPC, , , , , , , , , , , , , , , , 1601 2ND AVE N, SUITE 200, GREAT FALLS, MT, 594013259, US, 4067615046, 4067614975, 1601 2ND AVE N, SUITE 200, GREAT FALLS, MT, 594013259, US, 4067615046, 4067614975, 11/11/2005, 07/08/2007, , , , , HIEB, JANINE, , LIC ADDICTION COUNSELOR & PROF COUN, 4067614056, 101YA0400X, 917, MT, X, 101YP2500X, 1206LCPC, MT, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0256870, 05, MT, , 742550, 01, , BLUE CROSS BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , LAC LCPC, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1639150956, 2, , <UNAVAIL>, FOOT AND ANKLE CLINIC OF MONTANA, , , , , , , , , , , , , , , , 1301 11TH AVE S, EVERGREEN MALL, GREAT FALLS, MT, 594054654, US, 4067612222, 4067617219, 1301 11TH AVE S, EVERGREEN MALL, GREAT FALLS, MT, 594054654, US, 4067612222, 4067617219, 11/14/2005, 07/08/2007, , , , , CLOUGH, JAMES, G, OWNER PRESIDENT, 4067612222, 213E00000X, 75, MT, X, 213E00000X, 122, MT, X, 225100000X, 800PT, MT, X, 225100000X, 1558PT, MT, X, 225100000X, 1071PT, MT, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , DPM, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , 
1164404026, 2, , <UNAVAIL>, THREE FORKS AREA AMBULANCE SERVICE DISTRICT, , , , , , , , , , , , , , , , PO BOX 911, 15 E. DATE ST., THREE FORKS, MT, 597520911, US, 4062853819, 4062853819, 15 EAST DATE STREET, , THREE FORKS, MT, 597520911, US, 4062853819, 4062853819, 11/16/2005, 11/07/2013, , , , , FRANK, WILLIAM, , CHAIRMAN OF THE BOARD OF DIRECTORS, 4062853671, 341600000X, 140, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 590006915, 01, MT, RAILROAD MEDICARE, 442273, 05, MT, , 810472614 597520000, 01, MT, TRICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1558343202, 2, , <UNAVAIL>, MONTANA MENTAL HEALTH NURSING CARE CENTER, , , , , , , , , , , , , , , , 800 CASINO CREEK DR, , LEWISTOWN, MT, 594573359, US, 4065387451, 4065382863, 800 CASINO CREEK DR, , LEWISTOWN, MT, 594573359, US, 4065387451, 4065382863, 11/17/2005, 07/08/2007, , , , , MARSHALL, DENICE, M., BUSINESS MANAGER, 4065387451, 333600000X, 1038, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 57-1350, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1700868197, 2, , <UNAVAIL>, THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, , , , , , , GOOD SAMARITAN SOCIETY - MOUNTAIN VIEW MANOR, 3, , , , , , , , PO BOX 5038, , SIOUX FALLS, SD, 571175038, US, 6053623100, 6053623265, 10 MOUNTAIN VIEW DR, , EUREKA, MT, 599170327, US, 4062972541, 4062962543, 11/19/2005, 12/27/2012, , , , , NYLANDER, RAYE NAE, , CFO, 6053623100, 314000000X, , , Y, 332BN1400X, , , N, 332BP3500X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, <UNAVAIL>, MS., , , , , , , , , , , , , , , , , , 
1942283494, 2, , <UNAVAIL>, DOUGLAS D CREGER OD PC, , , , , , , DOUGLAS D CREGER OD, 3, , , , , , , , PO BOX 27, , DILLON, MT, 597250027, US, 4066832611, 4066832676, 233 E GLENDALE ST, , DILLON, MT, 597252707, US, 4066832611, 4066832676, 11/29/2005, 09/20/2011, , , , , CREGER, DOUGLAS, D., OWNER, 4066832611, 152W00000X, 544, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 410048154, 01, MT, RAILROAD MEDICARE, 0482482, 05, MT, , 000027780, 01, MT, BLUE CROSS BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , OD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1346224391, 2, , <UNAVAIL>, DANIELS MEMORIAL HOSPITAL ASSOCIATION, , , , , , , , , , , , , , , , PO BOX 400, 105 5TH AVE E, SCOBEY, MT, 59263, US, 4064872296, 4064872471, 105 5TH AVE E, , SCOBEY, MT, 59263, US, 4064872296, 4064872471, 12/02/2005, 01/27/2014, , , , , HUBBARD, DAVE, , CHIEF EXECUTIVE OFFICER, 4064872296, 261QC0050X, 10511, MT, Y, 314000000X, 10523, MT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 415649, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1487639233, 2, , <UNAVAIL>, EAGLE CALF TECHNICAL CORPORATION, , , , , , , , , , , , , , , , PO BOX 2989, , BROWNING, MT, 594172989, US, 4063385182, 4063385917, 324 POPIMI ST, , BROWNING, MT, 59417, US, 4063385182, 4063385917, 12/14/2005, 07/09/2007, , , , , GROUND, LELAND, FRANCIS, PRESIDENT/OWNER, 4063385182, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1679550107, 2, , <UNAVAIL>, MONTANA PLAINS REHABILITATION PC, , , , , , , , , , , , , , , , 500 15TH AVE S, SUITE ONE, GREAT FALLS, MT, 594054304, US, 4064552140, 4064552141, 500 15TH AVE S, SUITE ONE, GREAT FALLS, MT, 594054304, US, 4064552149, 4064552141, 12/27/2005, 09/13/2013, , , , , TACKE, BILL, JOHN, PRESIDENT, 4064552140, 208100000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , C01336, 01, , RR MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1245217199, 2, , <UNAVAIL>, EYECARE ASSOCIATES OF LEWISTOWN PC, , , , , , , , , , , , , , , , PO BOX 59, , LEWISTOWN, MT, 594570059, US, 4065385488, 4065383210, 119 E MAIN ST, , LEWISTOWN, MT, 594571710, US, 4065385488, 4065383210, 12/30/2005, 11/26/2007, , , , , HOCH, RANDALL, J, PRESIDENT, 4065385488, 152W00000X, 555, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0483650, 05, MT, , P00227881, 01, MT, RAIL ROAD MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , OD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1285611129, 2, , <UNAVAIL>, CUSTER COUNTY COMMUNITY HEALTH, , , , , , , , , , , , , , , , 210 S WINCHESTER AVE, 2ND FLOOR VA STE#136, MILES CITY, MT, 593014742, US, 4062348793, 4062348796, 210 S WINCHESTER AVE, 2ND FLOOR VA STE#136, MILES CITY, MT, 593014742, US, 4062348793, 4062348796, 12/30/2005, 05/02/2013, , , , , WILCOX, SHARON, W, CEO, 4062348793, 261QF0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00862, 01, MT, BLUE CROSS, 0730422, 05, MT, , 92708659, 01, MT, MONTANA BREAST AND CERVIC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1942287891, 2, , <UNAVAIL>, FACILITATING LIFE CHANGES INC, , , , , , , DIANA L BJORGEN PHD, 4, , , , , , , , PO BOX 1328, FLC INC OR CUSTOM MEDICAL BILLING, FLORENCE, MT, 59833, US, 4062737600, 4062737601, 301 W SPRUCE ST, , MISSOULA, MT, 59802, US, 4063279697, , 12/30/2005, 01/24/2008, , , , , BJORGEN, DIANA, L, PRESIDENT OWNER, 4063279697, 103TC0700X, 307, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 490348, 05, MT, , P00099519, 01, , PR MED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , PHD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1164400735, 2, , <UNAVAIL>, BUTTE OXYGEN INC., , , , , , , , , , , , , , , , 700 DEWEY BLVD, , BUTTE, MT, 597010800, US, 4064941349, 4064944024, 700 DEWEY BLVD, , BUTTE, MT, 597010800, US, 4064941349, 4064944024, 01/04/2006, 07/08/2007, , , , , BROCK, BONNIE, S., PRESIDENT, 4064941349, 332B00000X, 0411340001, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1386622843, 2, , <UNAVAIL>, GOLD STREET CLINIC, , , , , , , , , , , , , , , , 775 W GOLD ST, , BUTTE, MT, 597012319, US, 4067829090, 4067829191, 775 W GOLD ST, , BUTTE, MT, 597012319, US, 4067829090, 4067829191, 01/05/2006, 07/08/2007, , , , , HEALY, SHARON, , OWNER, 4067829090, 261QP2300X, RN14014, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4301238, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
