1083617013, 2, , <UNAVAIL>, MANCHESTER COMMUNITY HEALTH CENTER, , , , , , , , , , , , , , , , 145 HOLLIS ST, , MANCHESTER, NH, 031011325, US, 6036269500, 6036260899, 145 HOLLIS ST, , MANCHESTER, NH, 031011325, US, 6036269500, 6036260899, 05/23/2005, 06/02/2016, , , , , MCCRACKEN, KRISTEN, , PRESIDENT CEO, 6039355210, 261QF0400X, , NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3080891, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1588657233, 2, , <UNAVAIL>, ELLIOT PHYSICIANS NETWORK, , , , , , , ELLIOT FAMILY MEDICINE AT AMHERST, 5, , , , , , , , 199 ROUTE 101 MEETING PLACE PLAZA, ELLIOT FAMILY MEDICINE AT AMHERST, AMHERST, NH, 030311220, US, 6032493000, 6032493021, 199 ROUTE 101 MEETING PLACE PLAZA, ELLIOT FAMILY MEDICINE AT AMHERST, AMHERST, NH, 030311220, US, 6032493000, 6032493021, 08/29/2005, 06/24/2008, , , , , HERMAN, RICHARD, P., DIRECTOR OF OPERATIONS & FINANCE, 6036635766, 207Q00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30210568, 05, NH, , CG2227, 01, NH, RR MEDICARE GROUP #, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, ELLIOT PHYSICIANS NETWORK, <UNAVAIL>, , , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1588657142, 2, , <UNAVAIL>, COMMUNITY ALLIANCE OF HUMAN SERVICES, , , , , , , TRUSTING HANDS HOME HEALTH CARE, 3, , , , , , , , PO BOX 188, , NEWPORT, NH, 037730188, US, 6038631875, 6038639554, 27 JOHN STARK HWY, , NEWPORT, NH, 037731807, US, 6038631875, 6038637708, 08/29/2005, 07/08/2007, , , , , COONEY, KEVIN, , CEO, 6038637708, 251E00000X, 03022, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30590762, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1104819606, 2, , <UNAVAIL>, CITY OF BERLIN, , , , , , , CITY OF BERLIN HEALTH DEPT & NURSING, 3, , , , , , , , 168 MAIN ST, , BERLIN, NH, 035702420, US, 6037521272, 6037525238, 168 MAIN ST, , BERLIN, NH, 035702420, US, 6037521272, 6037525238, 08/30/2005, 05/04/2010, , , , , VIGER, LAURA, LEE, COMMUNITY SERVICES DIRECTOR, 6037521272, 251E00000X, 01267, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 99307004, 05, NH, , 99591037, 01, , HCBC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1174516587, 2, , <UNAVAIL>, TOWN OF BRENTWOOD, , , , , , , BRENTWOOD FIRE RESCUE, 3, , , , , , , , 8 TURCOTTE MEMORIAL DR, , ROWLEY, MA, 019691706, US, 8004884351, 9783562721, 148 CRAWLEY FALLS RD, , BRENTWOOD, NH, 038336200, US, 6036428132, , 08/31/2005, 10/04/2013, , , , , VADEBONCOEUR, DONNA, , MANAGER, 6036428132, 3416L0300X, 0013, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7107842Y0NH01, 01, NH, ANTHEM BLUE CROSS, 30820734, 05, NH, , 590014329, 01, NH, RR MEDICARE, 703422, 01, NH, HARVARD PILGRIM, 802784, 01, NH, TUFTS HEALTH PLAN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1831183268, 2, , <UNAVAIL>, CONCORD OPHTHALMOLOGIC ASSOC PA, , , , , , , THE EYE CENTER OF CONCORD, 3, , , , , , , , 2 PILLSBURY ST STE 100, , CONCORD, NH, 033013502, US, 6032281104, 6032287061, 2 PILLSBURY ST STE 100, , CONCORD, NH, 033013502, US, 6032281104, 6032287061, 08/31/2005, 01/27/2010, , , , , SERRATORE, EILEEN, M, ADMINISTRATOR, 6032281104, 207W00000X, , NH, Y, 332H00000X, , NH, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2184123, 01, NH, ANTHEM NH, 441183292, 01, NH, RR MEDICARE GROUP, 82184123, 05, NH, , CC8278, 01, NH, RR MEDICARE EDI GROUP #, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1700879137, 2, , <UNAVAIL>, TOWN OF BRIDGEWATER, , , , , , , BRIDGEWATER PUBLIC SAFETY EMS DEPARTMENT, 3, , , , , , , , 8 TURCOTTE MEMORIAL DR, , ROWLEY, MA, 019691706, US, 8004884351, 9783562721, 311 MAYHEW TPKE, , BRIDGEWATER, NH, 032225215, US, 6037446047, , 08/31/2005, 10/04/2013, , , , , FOGARTY, JACOB, , EMS DIRECTOR, 6037446047, 3416L0300X, 0392, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 71Y008099NH01, 01, NH, ANTHEM BC/BS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1912991977, 2, , <UNAVAIL>, REHABILITATION EQUIPMENT ASSOCIATES, , , , , , , , , , , , , , , , 1015 CANDIA RD, , MANCHESTER, NH, 031095207, US, 6036455200, 6036456098, 1015 CANDIA RD, , MANCHESTER, NH, 031095207, US, 6036455200, 6036456098, 09/07/2005, 06/04/2015, , , , , SODERQUIST, JANET, M, PRESIDENT / OWNER, 6036455200, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10216, 01, , CIGNA, 80547398, 05, NH, , 1207398Y0NH01, 01, NH, ANTHEM BC/BS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1689668212, 2, , <UNAVAIL>, SULLIVAN COUNTY COMMISSIONERS, , , , , , , SULLIVAN COUNTY HEALTH CARE, 3, , , , , , , , 5 NURSING HOME DRIVE, , UNITY, NH, 037437344, US, 6035429511, 6035429214, 5 NURSING HOME DRIVE, , UNITY, NH, 037437344, US, 6035429511, 6035429214, 09/09/2005, 01/24/2008, , , , , WOODMAN, JULIE, M, BUSINESS OFFICE MANAGER, 6035429511, 314000000X, NH00088, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 83016933, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1881689354, 2, , <UNAVAIL>, HUGGINS HOSPITAL, , , , , , , WOLFEBORO WOMEN'S HEALTH, 3, , , , , , , , PO BOX 912, , WOLFEBORO, NH, 038940912, US, 6035697585, 6035697593, 240 S MAIN ST, , WOLFEBORO, NH, 038944411, US, 6035697585, 6035697593, 09/12/2005, 01/02/2013, , , , , ROBERGE, JEREMY, S, CFO, 6035697500, 207V00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30007715, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1013902345, 2, , <UNAVAIL>, HOWARD J BONENBERGER, , , , , , , ANKLE & FOOT CENTER, 3, , , , , , , , 17 RIVERSIDE ST, #205, NASHUA, NH, 030621373, US, 6038828866, 6038828968, 17 RIVERSIDE ST, #205, NASHUA, NH, 030621373, US, 6038828866, 6038828968, 09/13/2005, 12/21/2010, , , , , BONENBERGER, HOWARD, JOHN, OWNER, 6038828866, 213E00000X, 0181, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , DPM, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1205821295, 2, , <UNAVAIL>, ELLIOT PHYSICIANS NETWORK, , , , , , , DERRYFIELD MEDICAL GROUP, 3, , , , , , , , 275 MAMMOTH RD STE 4, DERRYFIELD MEDICAL GROUP, MANCHESTER, NH, 031094133, US, 6036244380, 6036244805, 275 MAMMOTH RD STE 4, DERRYFIELD MEDICAL GROUP, MANCHESTER, NH, 031094133, US, 6036244380, 6036244805, 09/15/2005, 06/20/2008, , , , , HERMAN, RICHARD, P., DIRECTOR OF OPERATIONS & FINANCE, 6036635766, 207R00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CG2227, 01, NH, RR MEDICARE GROUP #, 30210576, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, ELLIOT PHYSICIANS NETWORK, <UNAVAIL>, , , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1760477764, 2, , <UNAVAIL>, STATE OF NEW HAMPSHIRE, , , , , , , GLENCLIFF HOME, 3, , , , , , , , 393 HIGH ST, PO BOX 76, GLENCLIFF, NH, 032380076, US, 6039893111, 6039893040, 393 HIGH ST, , GLENCLIFF, NH, 032380076, US, 6039893111, 6039893040, 09/15/2005, 07/18/2008, , , , , BICKFORD, LOUIS, TODD, ADMINISTRATOR, 6039893111, 313M00000X, , NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 83016951, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, STATE OF NEW HAMPSHIRE, <UNAVAIL>, MR., , MPA NHA, , , , , , , , , , , , , , , , 
1205821204, 2, , <UNAVAIL>, TOWN OF BRISTOL, , , , , , , TOWN OF BRISTOL FIRE DEPARTMENT, 3, , , , , , , , 8 TURCOTTE MEMORIAL DR, , ROWLEY, MA, 019691706, US, 8004884351, 9783562721, 230 LAKE ST, , BRISTOL, NH, 032223572, US, 6037443354, , 09/15/2005, 10/04/2013, , , , , YANNUZZI, STEVE, , CHIEF, 6037442632, 3416L0300X, 0014, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 590009688, 01, NH, RR MEDICARE, 688316, 01, NH, TUFTS HEALTH PLAN, 606172, 01, NH, HARVARD PILGRIM, 7106270Y0NH01, 01, NH, ANTHEM BCBS, 49006270, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1750376398, 2, , <UNAVAIL>, SOMERSWORTH CHIROPRACTIC PROFESSIONAL ASSN, , , , , , , , , , , , , , , , 339 HIGH ST, , SOMERSWORTH, NH, 038781415, US, 6036922376, 6036926553, 339 HIGH ST, , SOMERSWORTH, NH, 038781415, US, 6036922376, 6036926553, 09/20/2005, 07/08/2007, , , , , BAKKE, ERIK, N, PRESIDENT, 6036922376, 111N00000X, 20151, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 727, 01, NH, CIGNA HEALTHCARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , DC, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1548256118, 2, , <UNAVAIL>, NEW HAMPSHIRE ODD FELLOWS HOME, , , , , , , PRESIDENTIAL OAKS, 3, , , , , , , , 200 PLEASANT ST, , CONCORD, NH, 033012505, US, 6032256644, 6032262198, 200 PLEASANT ST, , CONCORD, NH, 033012505, US, 6032256644, 6032262198, 09/20/2005, 07/09/2007, , , , , PURINGTON, ANNE, , CEO, 6032256644, 313M00000X, 01817, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 99750047, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1902892466, 2, , <UNAVAIL>, COUNTY OF CARROLL, , , , , , , MOUNTAIN VIEW NURSING HOME, 3, , , , , , , , 10 COUNTY FARM RD, , OSSIPEE, NH, 038647200, US, 6035397511, 6035394233, 10 COUNTY FARM RD, , OSSIPEE, NH, 038647200, US, 6035397511, 6035394233, 09/21/2005, 07/08/2007, , , , , PAINTER, FORREST, W, ACTING ADMINISTRATOR, 6035397511, 313M00000X, 00232, NH, X, 314000000X, 00232, NH, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 99750012, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1518953397, 2, , <UNAVAIL>, LAKE SUNAPEE HOMECARE AND HOSPICE, , , , , , , , , , , , , , , , PO BOX 2209, 107 NEWPORT ROAD, NEW LONDON, NH, 032572209, US, 6035264077, 6035264272, 107 NEWPORT RD, , NEW LONDON, NH, 032575415, US, 6035264077, 6035264272, 09/27/2005, 03/09/2015, , , , , CULHANE, JAMES, , CEO, 6035264077, 251E00000X, 03031, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30004854, 01, NH, CHS HCBC PROV NUMBER, 99591039, 01, NH, HCH HCBC PROV NUMBER, 702129, 01, NH, HARVARD PILGRIM PROV #, 80307040, 05, NH, , 30011244, 01, NH, MSW MEDICAID PROV NUMBER, 307040, 01, NH, HCH BCBS PROV NUMBER, 30005518, 05, NH, , 2453, 01, NH, CIGNA HCH PIN NUMBER, 7HW, 01, NH, NEW BCBS HCH PROV NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , RN, , , , , , , , , , , , , , , , 
1659368322, 2, , <UNAVAIL>, FAIRVIEW NURSING HOME INC, , , , , , , , , , , , , , , , 203 LOWELL RD, , HUDSON, NH, 030514909, US, 6038825261, 6035983896, 203 LOWELL RD, , HUDSON, NH, 030514909, US, 6038825261, 6035983896, 09/28/2005, 07/08/2007, , , , , COURVILLE, BRIAN, C, ADMINISTRATOR, 6038825261, 313M00000X, 30E032, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30E032, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , ADMINISTRATOR, , , , , , , , , , , , , , , , 
1861489437, 2, , <UNAVAIL>, UPPER CONNECTICUT VALLEY HOSPITAL ASSOCIATION, , , , , , , , , , , , , , , , 181 CORLISS LANE, , COLEBROOK, NH, 03576, US, 6032374971, 6032374452, 181 CORLISS LANE, , COLEBROOK, NH, 03576, US, 6032374971, 6032374452, 09/29/2005, 08/03/2016, , , , , FRIZZELL, PAMELA, , CONTROLLER, 6032374971, 282NC0060X, 00592, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 49790, 01, VT, VT BCBS SURGERY, 926356, 01, , MVP, 5129902, 01, VT, VMC, 59472, 01, VT, VT BCBS  EKG, 301300, 01, VT, VTW, 301300, 01, VT, VT BCBS, 49735, 01, VT, VT BCBS ANESTHESIOLOGIST, 0301300, 05, VT, , 0049127, 01, , CIGNA, 030 1300, 01, NH, CAH, 30 1300, 01, , ANTHEM, 39632, 01, VT, VT BCBS  ED#, 59471, 01, VT, VT BCBS  WALK IN CLINIC, 138560000, 05, ME, , 00644, 01, VT, VTW  ED#, 3078954, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1134116718, 2, , <UNAVAIL>, BELKNAP COUNTY, , , , , , , BELKNAP COUNTY NURSING HOME, 3, , , , , , , , 30 COUNTY DR, , LACONIA, NH, 032462900, US, 6035275410, 6035275419, 30 COUNTY DR, , LACONIA, NH, 032462900, US, 6035275410, 6035275419, 09/29/2005, 03/07/2017, , , , , RICHARDSON, SHELLEY, , ADMINISTRATOR, 6035275410, 313M00000X, 00089, NH, Y, 314000000X, 00089, NH, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30102355, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1639166077, 2, , <UNAVAIL>, HUGGINS HOSPITAL, , , , , , , MOULTONBOROUGH FAMILY MEDICINE, 3, , , , , , , , PO BOX 750, , MOULTONBOROUGH, NH, 032540750, US, 6034762216, 6034765396, 984 WHITTIER HIGHWAY, , MOULTONBOROUGH, NH, 03254, US, 6035697588, 6034765396, 09/30/2005, 01/02/2013, , , , , ROBERGE, JEREMY, S, CFO, 6035697500, 207Q00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30211842, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1043207566, 2, , <UNAVAIL>, ALICE PECK DAY MEMORIAL HOSPITAL-ECU, , , , , , , EXTENDED CARE FACILITY, 3, , , , , , , , 125 MASCOMA ST, , LEBANON, NH, 037662647, US, 6034483121, 6034487462, 125 MASCOMA ST, , LEBANON, NH, 037662647, US, 6034483121, 6034487462, 09/30/2005, 02/02/2010, , , , , DORMAN, HARRY, G, PRESIDENT/CEO, 6034483121, 311ZA0620X, 0016A, NH, N, 313M00000X, 0016A, NH, N, 314000000X, 0016A, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80305033, 05, NH, , 0305033, 05, VT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, ALICE PECK DAY MEMORIAL HOSPITAL, <UNAVAIL>, , III, , , , , , , , , , , , , , , , , 
1003803495, 2, , <UNAVAIL>, ALICE PECK DAY MEMORIAL HOSPITAL, , , , , , , , , , , , , , , , 10 ALICE PECK DAY DR, , LEBANON, NH, 037662647, US, 6034483121, 6034487462, 10 ALICE PECK DAY DR, , LEBANON, NH, 037662647, US, 6034483121, 6034487462, 09/30/2005, 04/25/2013, , , , , MOONEY, SUSAN, E, CEO/PRESIDENT, 6034483121, 282NC0060X, 00016, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0009582, 05, VT, , 80300016, 05, NH, , 0300016, 05, VT, , 30002661, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, ALICE PECK DAY MEMORIAL HOSPITAL, <UNAVAIL>, , , MD, , , , , , , , , , , , , , , , 
