1477556231, 2, , <UNAVAIL>, UNIVERSITY OPHTHALMOLOGY ASSOCIATES, , , , , , , , , , , , , , , , 2500 N STATE ST, STE B329, JACKSON, MS, 392164500, US, 6018153931, 6018153773, 2500 N STATE ST, STE B329, JACKSON, MS, 392164500, US, 6018153931, 6018153773, 05/24/2005, 09/09/2009, , , , , CHEN, CHING, JYGH, MANAGING PARTNER, 6019845022, 207W00000X, 08640, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09015396, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M. D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1518967280, 2, , <UNAVAIL>, SELECT SPECIALTY HOSPITAL - GULF COAST INC, , , , , , , SELECT SPECIALTY HOSPITAL - GULF COAST, 3, , , , , , , , 4714 GETTYSBURG RD, LEGAL DEPT., MECHANICSBURG, PA, 170554325, US, 7179721100, 7179759981, 1520 BROAD AVE, , GULFPORT, MS, 395013601, US, 2285234820, 2288674830, 07/26/2005, 09/02/2010, , , , , TARVIN, MICHAEL, E., VICE PRESIDENT, 7179721100, 282E00000X, 22 326 S, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20236, 01, MS, BCBS MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1881694354, 2, , <UNAVAIL>, JACKSON EYE ASSOCIATES PLLC, , , , , , , JEA OPTICAL JACKSON, 3, , , , , , , , 1190 N STATE ST, SUITE 101, JACKSON, MS, 392022413, US, 6013520025, 6013520037, 1190 N STATE ST, SUITE 101, JACKSON, MS, 392022413, US, 6013520025, 6013520037, 07/27/2005, 04/15/2009, , , , , MCVEY, JOHN, H, MANAGING PARTNER, 6013520025, 332B00000X, 34859, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========A, 01, MS, BLUE CROSS, CH0425, 01, MS, MEDICARE RR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JACKSON EYE ASSOCIATES PLLC, <UNAVAIL>, DR., , MD, , , , , , , , , , , , , , , , 
1386644789, 2, , <UNAVAIL>, GRENADA LAKE MEDICAL CENTER, , , , , , , , , , , , , , , , 960 AVENT DR, , GRENADA, MS, 389015230, US, 6622277000, 6622277534, 960 AVENT DR, , GRENADA, MS, 389015230, US, 6622277000, 6622277534, 07/28/2005, 06/15/2012, , , , , DENTON, CHARLES, L, CEO, 6622277000, 282NR1301X, 11245, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1164422580, 2, , <UNAVAIL>, MISSISSIPPI UNIVERSITY FOR WOMEN, , , , , , , MUW SPEECH & HEARING CENTER, 3, , , , , , , , 1100 COLLEGE ST, MUW-1340, COLUMBUS, MS, 397015800, US, 6623297270, 6623297460, 620 10TH ST SOUTH, CROMWELL BLDG ROOM 129, COLUMBUS, MS, 39701, US, 6623297270, 6623297460, 07/28/2005, 06/19/2008, , , , , TOWNSEND, BEVERLY, JOY, INTERIM DIRECTOR, 6623297270, 261QM1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09014446, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MS CCC SLP, , , , , , , , , , , , , , , , 
1609877356, 2, , <UNAVAIL>, SMB RADIOLOGY PA, , , , , , , , , , , , , , , , 4320 15TH ST, SUITE A, GULFPORT, MS, 395012524, US, 2288644392, 2288687103, 4320 15TH ST, SUITE A, GULFPORT, MS, 395012524, US, 2288644392, 2288687103, 08/03/2005, 02/15/2010, , , , , MALLEY, BRENDA, C, MANAGER, 2288644392, 2085R0202X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09014149, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1336140847, 2, , <UNAVAIL>, SHERRY A. MARTIN ENDOCRINE CLINIC, , , , , , , , , , , , , , , , 450 E PRESIDENT AVE, , TUPELO, MS, 388015599, US, 6623774685, 6623772755, 607 GARFIELD ST, , TUPELO, MS, 388016337, US, 6628405200, 6628408216, 08/09/2005, 07/08/2007, , , , , MARTIN, SHERRY, ALCORN, M.D., 6628405200, 207RE0101X, 09923, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00110890, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1992706303, 2, , <UNAVAIL>, TALLAHATCHIE GENERAL HOSPITAL, , , , , , , , , , , , , , , , PO BOX 230, 201 S MARKET ST, CHARLESTON, MS, 389210240, US, 6626475535, 6626473677, 201 S MARKET ST, , CHARLESTON, MS, 389212236, US, 6626475535, 6626473677, 08/09/2005, 06/09/2008, , , , , BRUNSON, BOBBY, J, CEO, 6626475535, 275N00000X, 11-211, MS, N, 282NC0060X, 11-211, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1578564712, 2, , <UNAVAIL>, PICAYUNE CLINIC LLC, , , , , , , CROSBY MEMORIAL HOSPITAL, 3, , , , , , , , 801 GOODYEAR BLVD, , PICAYUNE, MS, 394663221, US, 6017984711, 6017493187, 801 GOODYEAR BLVD, , PICAYUNE, MS, 394663221, US, 6017984711, 6017493187, 08/10/2005, 07/08/2007, , , , , GRIMM, STEVE, , CEO, 6017984711, 282NR1301X, 12086, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00220682, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1508868514, 2, , <UNAVAIL>, PRAIRIE ANESTHESIA PARTNERS PLLC, , , , , , , , , , , , , , , , PO BOX 1806, , COLUMBUS, MS, 397031806, US, (662) 327-6820, 6623279388, 2520 5TH ST N, , COLUMBUS, MS, 397052008, US, 6622441000, , 08/10/2005, 09/13/2017, , , , , VOLLERR, ROBERT, , MD, 6623273460, 174400000X, , MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1669474672, 2, , <UNAVAIL>, TOMBIGBEE ANESTHESIA LLC, , , , , , , , , , , , , , , , PO BOX 9235, , COLUMBUS, MS, 397050017, US, 6623276820, 6623279388, 634 LEIGH DR, , COLUMBUS, MS, 397053014, US, 6623276820, 6623279388, 08/10/2005, 11/07/2007, , , , , SHELTON, EDITH, , OFFICE MANAGER, 6623276820, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09015934, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1043212996, 2, , <UNAVAIL>, AARON E HENRY COMMUNITY HEALTH, , , , , , , TALLACHATCHIE SCHOOL BASED CLINIC, 3, , , , , , , , 510 HIGHWAY 322, P O BOX 1216, CLARKSDALE, MS, 386144717, US, 6626244292, 6626244354, FRIENDSHIP RD, , SUMNER, MS, 38957, US, 6623758818, 6623758646, 08/11/2005, 10/05/2010, , , , , TAYLOR, AURELIA, , CHEIF EXECUTIVE OFFICE, 6626244292, 261QF0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 08982230, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1013909738, 2, , <UNAVAIL>, JACKSON GYNECOLOGIC ONCOLOGY PLLC, , , , , , , , , , , , , , , , 971 LAKELAND DR, STE 750, JACKSON, MS, 392164643, US, 6019873033, 6019878768, 971 LAKELAND DR, STE 750, JACKSON, MS, 392164643, US, 6019873033, 6019878768, 08/18/2005, 07/08/2007, , , , , SEUSO, DONALD, PAUL, PARTNER, 6019873033, 207VG0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1417949058, 2, , <UNAVAIL>, HIGHWAY 15 MEDICAL CLINIC PA, , , , , , , , , , , , , , , , 124 HIGHWAY 15 S, , NEW ALBANY, MS, 386525225, US, 6625344706, 6625348065, 124 HIGHWAY 15 S, , NEW ALBANY, MS, 386525225, US, 6625344706, 6625348065, 08/19/2005, 07/08/2007, , , , , THORNTON, JAMES, LEE, PRESIDENT, 6625344706, 261QR1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09016044, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., III, M.D., , , , , , , , , , , , , , , , 
1598757924, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , SINGING RIVER REHABILITATION AND NURSING CENTER, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 3401 MAIN ST, , MOSS POINT, MS, 395635101, US, 2287627451, 2287692294, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 617, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230107, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1730171000, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , OCEAN SPRINGS NURSING HOME, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 1199 OCEAN SPRINGS RD, , OCEAN SPRINGS, MS, 395643421, US, 2288759363, 2288724500, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 456, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230116, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1821080250, 2, , <UNAVAIL>, BROOKHAVEN OPTICAL INC, , , , , , , OPTICAL OUTLET, 3, , , , , , , , 347 W CHEROKEE ST, , BROOKHAVEN, MS, 396013219, US, 6018331958, 6018333938, 347 W CHEROKEE ST, , BROOKHAVEN, MS, 396013219, US, 6018331958, 6018333938, 08/22/2005, 07/09/2007, , , , , HERNDON, NATLIE, BROWN, PRESIDENT, 6018331958, 332H00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00089220, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , M.S.,  PH.D., , , , , , , , , , , , , , , , 
1104818541, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , SHELBY NURSING AND REHAB CENTER, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 1108 CHURCH ST, , SHELBY, MS, 387742200, US, 6623985117, 6623987766, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 438, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230112, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1558353813, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , GREENBOUGH NURSING CENTER, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 340 DESOTO AVENUE EXT, , CLARKSDALE, MS, 386142814, US, 6626273486, 6626275654, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 383, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230119, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1326030768, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , DIXIE WHITE HOUSE NURSING HOME, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 538 MENGE AVE, , PASS CHRISTIAN, MS, 395714234, US, 2284524344, 2284522264, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 495, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230105, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1780676049, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , LAKESIDE LIVING CENTER, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 191 HIGHWAY 511, , QUITMAN, MS, 393558320, US, 6017762141, 6017765782, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 290, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230104, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1770575045, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , MIRAMAR LODGE, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 216 W BEACH BLVD, , PASS CHRISTIAN, MS, 395714301, US, 2284522416, 2284523155, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, J, CEO PRESIDENT, 8504300000, 314000000X, 167, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230117, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1679565949, 2, , <UNAVAIL>, REHAB AT WORK OF SOUTH MISSISSIPPI, , , , , , , , , , , , , , , , 500 HILL ST, , ELLISVILLE, MS, 394372526, US, 6014773060, 6014773070, 65 DUTCH LN, , COLUMBUS, MS, 397025523, US, 6622414545, 6622414025, 08/22/2005, 07/08/2007, , , , , POUNDERS, DAWN, , OFFICE MANAGER, 6622414545, 225100000X, , , X, 225X00000X, , , X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1548252810, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , PINE VIEW HEALTHCARE CENTER, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 1304 WALNUT ST, , WAYNESBORO, MS, 393672232, US, 6017359025, 6017352865, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, , CEO PRESIDENT, 8504300000, 314000000X, 162, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230118, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1356333629, 2, , <UNAVAIL>, PENSACOLA HEALTH TRUST INC, , , , , , , THE BOYINGTON, 3, , , , , , , , 2 N PALAFOX ST, , PENSACOLA, FL, 325025631, US, 8504300000, 8504366766, 1530 BROAD AVE, , GULFPORT, MS, 395013601, US, 2288646544, 2288688544, 08/22/2005, 07/09/2007, , , , , BELL, SCOTT, , CEO PRESIDENT, 8504300000, 314000000X, 391, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0230108, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1083607220, 2, , <UNAVAIL>, RIVER CITY REHABILITATION LLC, , , , , , , , , , , , , , , , 1707 SOUTH COLORADO, SUITE A, GREENVILLE, MS, 38703, US, 6623358332, 6623358852, 1707 SOUTH COLORADO, SUITE A, GREENVILLE, MS, 38703, US, 6623358332, 6623358852, 08/23/2005, 04/20/2008, , , , , ASHFORD, GINA, L, MANAGER, 6623358332, 225100000X, PT1045, MS, Y, 225100000X, PT0713, MS, N, 225X00000X, OT0169, MS, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, MS, BCBS, 09015486, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
