1902809924, 2, , <UNAVAIL>, THE SALUDA COUNSELING SERVICES CENTER INC., , , , , , , THE SALUDA CENTER, 3, , , , , , , , 2400 W MAIN ST, , ROCK HILL, SC, 297328968, US, 8033276103, 8033285443, 2400 W MAIN ST, , ROCK HILL, SC, 297328968, US, 8033276103, 8033285443, 05/23/2005, 04/20/2008, , , , , JOHNSON, BARBARA, J, OFFICE MANAGER, 8033276103, 101YA0400X, , , N, 101YM0800X, , , Y, 101YP1600X, , , N, 101YP2500X, , , N, 1041C0700X, , , N, 106H00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========006, 01, SC, BCBS, =========003, 01, SC, BCBS, =========001, 01, SC, BCBS, =========002, 01, SC, BCBS, =========005, 01, SC, BCBS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , 
1396744090, 2, , <UNAVAIL>, LODGE RESCUE SQUAD, , , , , , , , , , , , , , , , 5005 SUNSET BLVD, , LEXINGTON, SC, 290729154, US, 8039577111, 8039577115, 395 HIGH COTTON RD, , LODGE, SC, 290829178, US, 8039577111, , 07/15/2005, 07/08/2007, , , , , CARTER, RICHARD, PHILLIP, DIRECTOR, 8438662322, 341600000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., SR., DIRECTOR/EMT, , , , , , , , , , , , , , , , 
1033118757, 2, , <UNAVAIL>, BLACKS DRUG STORE INC, , , , , , , BLACKS DRUG STORE INC, 3, , , , , , , , PO BOX 578, , CHESTER, SC, 297060578, US, 8035812102, 8035812121, 121 CHURCH ST, , CHESTER, SC, 297062903, US, 8035812102, 8035812121, 07/15/2005, 09/27/2016, , , , , WYLIE, ROBERT, , PHARMACIST AND OWNER, 8035812102, 333600000X, , , N, 3336C0003X, 6574, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 718772, 05, SC, , 2090205, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1205835865, 2, , <UNAVAIL>, CHARLESTON GASTROENTEROLOGY SPECIALISTS, , , , , , , , , , , , , , , , 1962 CHARLIE HALL BLVD, , CHARLESTON, SC, 294145837, US, 8437228000, 8432665146, 1962 CHARLIE HALL BLVD, , CHARLESTON, SC, 294145837, US, 8437228000, 8432665146, 07/18/2005, 07/08/2007, , , , , HALL, BEVERLY, G, CHIEF FINANCIAL OFFICER, 8437228000, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., SR., , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1053310623, 2, , <UNAVAIL>, WILLIAMSBURG COUNTY EMS, , , , , , , , , , , , , , , , 205 THURGOOD MARSHALL HWY, , KINGSTREE, SC, 295564028, US, 8433555195, , 5005 SUNSET BLVD, , LEXINGTON, SC, 290729154, US, 8039577111, 8039577115, 07/18/2005, 09/20/2007, , , , , BRYANT, RENE, C., DIRECTOR, 8433555195, 341600000X, , , N, 341600000X, 156, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 500951, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , DIRECTOR/PARAMEDIC, , , , , , , , , , , , , , , , 
1275532855, 2, , <UNAVAIL>, CITY OF MYRTLE BEACH, , , , , , , , , , , , , , , , 5005 SUNSET BLVD, , LEXINGTON, SC, 290729154, US, 8039577111, 8039577115, 921B N OAK ST, , MYRTLE BEACH, SC, 295773500, US, 8469181103, , 07/18/2005, 08/10/2007, , , , , PAYNE, JAMES, A, FIRE CHIEF, 8439181103, 341600000X, 158, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 502959, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , FIRE CHIEF, , , , , , , , , , , , , , , , 
1629077219, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 300 MIDTOWN DR, STE A, BEAUFORT, SC, 299065200, US, 8435256994, 8435250127, 07/18/2005, 03/01/2016, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, 333300000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DME598, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1043219637, 2, , <UNAVAIL>, MARLBORO CLINIC CORP, , , , , , , , , , , , , , , , 7100 COMMERCE WAY, SUITE 180, BRENTWOOD, TN, 370273280, US, 8663987108, , 1040 MARLBORO WAY, SUITE 7, BENNETTSVILLE, SC, 295122494, US, 8434795858, 8434541092, 07/18/2005, 11/09/2009, , , , , BREWER, DEBBIE, , DIRECTOR, 8778929813, 207V00000X, , , Y, 208600000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GP3861, 05, SC, , GP4559, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1306845904, 2, , <UNAVAIL>, MP VEERA MD PA, , , , , , , , , , , , , , , , PO BOX 3639, , ANDERSON, SC, 296223639, US, 8642248689, 8642221303, 130 PERPETUAL SQ, , ANDERSON, SC, 296211713, US, 8642248689, 8642221303, 07/18/2005, 10/28/2011, , , , , VEERABAGU, NAGEEN, A, ADMINISTRATOR, 8642248689, 207RG0100X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GP3768, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1487653606, 2, , <UNAVAIL>, BEAUFORT COUNTY ALCOHOL & DRUG ABUSE DEPARTMENT, , , , , , , , , , , , , , , , PO BOX 311, , BEAUFORT, SC, 299010311, US, 8434704545, 8434704557, 1905 DUKE ST, STE 270, BEAUFORT, SC, 299024403, US, 8434704545, 8434704557, 07/19/2005, 07/08/2007, , , , , BOYNE, DOUGLAS, HAIGH, DIRECTOR, 8434704550, 324500000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , AD21BE, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., JR., , , , , , , , , , , , , , , , , 
1821097825, 2, , <UNAVAIL>, KEOWEE RADIOLOGY P A, , , , , , , , , , , , , , , , PO BOX 49009, , GREENWOOD, SC, 296490001, US, 8642233070, , 298 MEMORIAL DR, , SENECA, SC, 296729443, US, 8648857113, , 07/20/2005, 08/25/2010, , , , , POLEYNARD, BLAKE, C, PRESIDENT, 8648857113, 2085R0202X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3270, 05, SC, , CH9258, 01, , RAILROAD MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1447259320, 2, , <UNAVAIL>, WAB, , , , , , , SENIORCARE, 3, , , , , , , , 1256 BEN SAWYER BLVD, SUITE E, MOUNT PLEASANT, SC, 294644578, US, 8432167000, 8432163600, 1256 BEN SAWYER BLVD, SUITE E, MOUNT PLEASANT, SC, 294644578, US, 8432167000, 8432163600, 07/21/2005, 07/09/2007, , , , , MANUEL, DAVID, ALLYN, PRESIDENT, 8432167000, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DE1243, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1891795738, 2, , <UNAVAIL>, GREENVILLE COUNTY COMMISSION ON ALCOHOL AND DRUG ABUSE, , , , , , , THE PHOENIX CENTER, 3, , , , , , , , P O BOX 1948, , GREENVILLE, SC, 296021948, US, 8644673790, 8644673779, 1400 CLEVELAND ST, , GREENVILLE, SC, 296072410, US, 8644673790, 8644673779, 07/21/2005, 05/09/2016, , , , , MADDOX, REBECCA, , DEPUTY DIRECTOR, 8644673742, 261QR0405X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1336149848, 2, , <UNAVAIL>, PROACTIVE THERAPY OF SOUTH CAROLINA INC, , , , , , , SELECT PYSICAL THERAPY, 3, , , , , , , , 4714 GETTYSBURG RD, LEGAL DEPARTMENT, MECHANICSBURG, PA, 170554325, US, 7179721100, 7179759981, 7 S ALLIANCE DR, , GOOSE CREEK, SC, 294457172, US, 8435693879, 8435693848, 07/26/2005, 08/31/2010, , , , , TARVIN, MICHAEL, E., VICE PRESIDENT, 7179721100, 261QP2000X, , SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1801896204, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 2935 ARGENT BLVD, UNIT B, RIDGELAND, SC, 299363112, US, 8439870772, 8439870774, 07/28/2005, 02/26/2016, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, 333300000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DME462, 05, SC, , 000528481A, 05, GA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1487654893, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 1200 WOODRUFF RD, STE B7, GREENVILLE, SC, 296075733, US, 8649870148, 8649870157, 07/28/2005, 02/26/2016, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, 333300000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DME715, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1174523534, 2, , <UNAVAIL>, HEALTH MANAGEMENT RESOURCES GOVERNMENTAL SERVICES INC., , , , , , , RICHARD M. CAMPBELL VETERANS NURSING HOME, 3, , , , , , , , 4605 BELTON HWY, , ANDERSON, SC, 296215045, US, 8642616734, 8642610453, 4605 BELTON HWY, , ANDERSON, SC, 296215045, US, 8642616734, 8642610453, 07/28/2005, 01/10/2017, , , , , TWITTY, JOHN, M., VP/CFO, 8642243898, 3336L0003X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1033119466, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 2 PALMETTO WOOD PKWY, STE 101, IRMO, SC, 290632881, US, 8037314246, 8037315378, 07/28/2005, 11/14/2017, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 552011, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1508866807, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDXPRESS, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 171B MONROE LN, , LEXINGTON, SC, 290723904, US, 8033586760, 8668566339, 07/28/2005, 02/26/2016, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1508866807, 05, IL, , DME735, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1770583171, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , INCARE MEDICAL EQUIPMENT, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 4711 HIGHWAY 17 BYP S, , MYRTLE BEACH, SC, 295776693, US, 8432932122, 8432934009, 07/28/2005, 12/07/2017, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 558827, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1336149764, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 1800 2ND LOOP RD, STE 2, FLORENCE, SC, 295016180, US, 8436670906, 8436670918, 07/28/2005, 02/07/2017, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, 333300000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DME714, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1033119334, 2, , <UNAVAIL>, MEDICAL SERVICES OF AMERICA INC, , , , , , , MEDI HOME CARE, 3, , , , , , , , PO BOX 1928, , LEXINGTON, SC, 290711928, US, 8039570500, 8883426190, 1650 SAM RITTENBERG BLVD, STE 9, CHARLESTON, SC, 294074932, US, 8433291981, 8433291980, 07/28/2005, 12/07/2017, , , , , JEFFCOAT, CHRISTINA, M, VICE PRESIDENT, 8039570500, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DME733, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1174523286, 2, , <UNAVAIL>, SOUTH CAROLINA SLEEP MEDICINE LLC, , , , , , , , , , , , , , , , 92 SPRINGVIEW LN, , SUMMERVILLE, SC, 294858153, US, 8438714006, 8438714074, 92 SPRINGVIEW LN, , SUMMERVILLE, SC, 294858153, US, 8438714006, 8438714074, 07/29/2005, 02/04/2015, , , , , KAELIN, SUSANNAH, RAYE, MANAGER, 8438714006, 207RP1001X, =========, SC, Y, 207Y00000X, =========, SC, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GP3738, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , 
1982604021, 2, , <UNAVAIL>, GEORGETOWN MEMORIAL HOSPITAL, , , , , , , , , , , , , , , , PO BOX 1718, , GEORGETOWN, SC, 294421718, US, 8435277142, , 606 BLACK RIVER RD, , GEORGETOWN, SC, 294403304, US, 8435277142, , 07/29/2005, 07/10/2008, , , , , SHELLEY, ANTHONY, , PATIENT ACCOUNT MANAGER, 8435277142, 282N00000X, HTL-0007, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1972503910, 2, , <UNAVAIL>, WACCAMAW COMMUNITY HOSPITAL, , , , , , , , , , , , , , , , PO BOX 421718, , GEORGETOWN, SC, 294424203, US, 8436521000, , 4070 HIGHWAY 17, , MURRELLS INLET, SC, 295765033, US, 8436521000, , 07/29/2005, 05/28/2015, , , , , TERPSTRA, JAMES, , ASSOCIATE VP,  PFS, 8435277147, 282N00000X, HTL-834, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1700887742, 2, , <UNAVAIL>, PEE DEE ORTHOPEDIC ASSOC, , , , , , , , , , , , , , , , 901 E. CHEVES ST, SUITE 100, FLORENCE, SC, 295062769, US, 8436625233, 8436789003, 901 E. CHEVES ST, SUITE 100, FLORENCE, SC, 295062769, US, 8436625233, 8436789003, 08/01/2005, 03/21/2011, , , , , EDWARDS, WILLIE, S, PRESIDENT, 8436625233, 207X00000X, 040617, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , PA0043, 05, SC, , =========, 01, SC, TIN, GP3840, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., JR., M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
