1952304008, 2, , <UNAVAIL>, WILPAGE INC., , , , , , , WILPAGE MEDICAL, 3, , , , , , , , PO BOX 37, , HAWTHORNE, NJ, 075070037, US, 9734234100, 9734230715, 146 GENEVIEVE AVE, , HAWTHORNE, NJ, 075062332, US, 9734234100, 9734230715, 05/23/2005, 11/19/2013, , , , , ABRUZZO, SYLVESTER, , TREASURER, 9738354716, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0093831, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., JR., , , , , , , , , , , , , , , , , 
1407852833, 2, , <UNAVAIL>, CANTERBURY AT CEDAR GROVE CARE & REHABILITATION CENTER LLC, , , , , , , CEDAR GROVE MANOR, 4, , , , , , , , 100 MCCLELLEN ST, , NORWOOD, NJ, 076481555, US, 2017670100, 2018811191, 398 POMPTON AVE, , CEDAR GROVE, NJ, 070091813, US, 9732397600, 9732398725, 06/21/2005, 03/17/2009, , , , , CONDORELLI, DEBORAH, , VP FINCANCE AND CENSUS DEVELOPEMENT, 2017670100, 314000000X, 060729, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8864501, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1306842745, 2, , <UNAVAIL>, STRATFORD MANOR CARE & REHABILITATION CENTER LLC, , , , , , , NORTHFIELD MANOR, 4, , , , , , , , 100 MCCLELLEN ST, , NORWOOD, NJ, 076481555, US, 2017670100, 2018811191, 787 NORTHFIELD AVE, , WEST ORANGE, NJ, 070521131, US, 9737314500, 9735920226, 06/21/2005, 03/17/2009, , , , , CONDORELLI, DEBORAH, , VICE PRESIDENT FINANCE AND, 2007670100, 314000000X, 060714, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8876801, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1659377042, 2, , <UNAVAIL>, TOMS RIVER AMBULATORY SURGICAL CENTER, , , , , , , BEY LEA AMBULATORY SURGICAL CENTER, 3, , , , , , , , 54 BEY LEA RD, BLDG 2, TOMS RIVER, NJ, 087532891, US, (732) 281-1020, 7322811024, 54 BEY LEA RD, BLDG 2, TOMS RIVER, NJ, 087532891, US, 7322811020, 7322811024, 06/22/2005, 06/07/2017, , , , , BANNON, DEBORAH, LYNN, BUSINESS ADMINISTRATOR, 7322811020, 261QA1903X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0000388, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1164428330, 2, , <UNAVAIL>, STAT RADIOLOGY LLC, , , , , , , DOVER IMAGING, 3, , , , , , , , 1166 RIVER AVE, STE 102, LAKEWOOD, NJ, 087015600, US, 7323649565, 7323641908, 25 MULE RD, STE B5&B6, TOMS RIVER, NJ, 087555035, US, 7322401011, 7322403309, 06/22/2005, 03/17/2008, , , , , JAIN, CHANDRU, U, PARTNER, 7322401011, 261QR0200X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., , , , , , , , , , , , , , , , 
1942206065, 2, , <UNAVAIL>, REHABCLINICS SPT INC, , , , , , , NOVACARE REHABILITATION, 3, , , , , , , , 4714 GETTYSBURG RD, LEGAL DEPARTMENT, MECHANICSBURG, PA, 170554325, US, 7179721100, 7179759981, 1765 SPRINGDALE RD, BLDG A, CHERRY HILL, NJ, 080032177, US, 8567518787, 8567510449, 06/23/2005, 08/31/2010, , , , , TARVIN, MICHAEL, E., VICE PRESIDENT, 7179721100, 261QP2000X, , NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1285630228, 2, , <UNAVAIL>, REHABCLINICS(SPT) INC, , , , , , , NOVACARE REHABILITATION, 3, , , , , , , , 4714 GETTYSBURG RD, LEGAL DEPARTMENT, MECHANICSBURG, PA, 170554325, US, 7179721100, 7179759981, 17 WHITE HORSE PIKE, STE 5&7, HADDON HEIGHTS, NJ, 080351299, US, 8565468980, 8565468984, 06/23/2005, 08/31/2010, , , , , TARVIN, MICHAEL, E., VICE PRESIDENT, 7179721100, 261QP2000X, , NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1528064409, 2, , <UNAVAIL>, VIRTUA WEST JERSEY HEALTH SYSTEM INC, , , , , , , , , , , , , , , , 20 W STOW RD, SUITE 8, MARLTON, NJ, 080533160, US, 8563552000, 8563552011, 100 BOWMAN DR, , VOORHEES, NJ, 080439612, US, 8562473000, , 06/24/2005, 09/04/2014, , , , , LOWE, GERRY, , VP FOR FINANCE, 8563550604, 282N00000X, 10405, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3674321, 01, NJ, HEALTHSTART, 3674304, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1558367441, 2, , <UNAVAIL>, VINELAND MEDICAL ASSOCIATES PA, , , , , , , , , , , , , , , , 1100 E CHESTNUT AVE, , VINELAND, NJ, 083605002, US, 8566960108, 8566911106, 1100 E CHESTNUT AVE, , VINELAND, NJ, 083605002, US, 8566960108, 8566911106, 06/24/2005, 07/08/2007, , , , , VENUGOPAL, NARASIMHALOO, , PRESIDENT, 8566960108, 207R00000X, 25MA02825000, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2875501, 05, NJ, , 2231287739, 01, , TIN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1285630194, 2, , <UNAVAIL>, BELLARDINI KOSC AND PAVLOU MDS PA, , , , , , , , , , , , , , , , 1130 MCBRIDE AVENUE, , WEST PATERSON, NJ, 07424, US, 9732565557, 9732565036, 1130 MCBRIDE AVENUE, , WEST PATERSON, NJ, 07424, US, 9732565557, 9732565036, 06/24/2005, 11/20/2008, , , , , BELLARDINI, ANGELO, G., PRESIDENT, 9732565557, 207Q00000X, =========, NJ, N, 207R00000X, =========, NJ, Y, 207RG0100X, =========, NJ, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0868546, 01, NJ, AETNA HMO, 5862571, 01, NJ, AETNA PPO, 1039300, 05, NJ, , CA0181, 01, NJ, RAILROAD MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
1427054345, 2, , <UNAVAIL>, LOWER TOWNSHIP RESCUE SQUAD, , , , , , , , , , , , , , , , PO BOX 89, , VILLAS, NJ, 082510089, US, 6098862552, 6098869251, 101 GEORGIA AND MAIN ST, , VILLAS, NJ, 08251, US, 6098862552, 6098869251, 06/24/2005, 02/29/2012, , , , , HART, KEVIN, J, MANAGER/CHIEF, 6098862552, 3416L0300X, , NJ, Y, 343800000X, , NJ, N, 343900000X, , NJ, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3579000, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1285630087, 2, , <UNAVAIL>, LOURDES MEDICAL CENTER OF BURLINGTON COUNTY, , , , , , , LOURDES MEDICAL CENTER OF BURLINGTON COUNTY -PYSCH, 3, , , , , , , , 100 FRONT STREET, , RIVERSIDE, NJ, 08075, US, , , 218A SUNSET RD, , WILLINGBORO, NJ, 080461110, US, 6098352900, , 06/27/2005, 10/12/2015, , , , , HATALA, ALEXANDER, , CHIEF FINANCIAL OFFICER, 8567573612, 273R00000X, 10303, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1003812728, 2, , <UNAVAIL>, LIBERTY CHILD AND ADOLESCENT HEALTH SERVICES, , , , , , , , , , , , , , , , PO BOX 334, , WAYNE, NJ, 074740334, US, 2018042800, , 550 NEWARK AVE, , JERSEY CITY, NJ, 073061326, US, 2017147902, , 06/27/2005, 07/08/2007, , , , , BONFORTE, RICHARD, J, PRESIDENT, 2017147903, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6697704, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1316943111, 2, , <UNAVAIL>, VINELAND MEDICAL ASSOCIATES PA, , , , , , , , , , , , , , , , 1100 E CHESTNUT AVE, , VINELAND, NJ, 083605002, US, 8566960108, 8566911106, 1100 E CHESTNUT AVE, , VINELAND, NJ, 083605002, US, 8566960108, 8566911106, 06/27/2005, 07/08/2007, , , , , VENUGOPAL, NARASIMHALOO, , PRESIDENT, 8566960108, 207R00000X, 25MA06727800, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8193100, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1629074356, 2, , <UNAVAIL>, DAVID SCHWED INC., , , , , , , WOODRUFF'S DRUGS, 3, , , , , , , , 30 N LAUREL ST, , BRIDGETON, NJ, 083021908, US, 8564516755, 8564518209, 30 N LAUREL ST, , BRIDGETON, NJ, 083021908, US, 8564516755, 8564518209, 06/27/2005, 02/10/2015, , , , , SWANK, MEREDITH, A, PRESIDENT, 8564516755, 332B00000X, , , N, 333600000X, 28RS00322800, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8121303, 05, NJ, , 3123938, 01, NJ, NCPDP, 8121311, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , RPH, , , , , , , , , , , , , , , , 
1366448979, 2, , <UNAVAIL>, NEW JERSEY PAIN CONSULTANTS PC, , , , , , , , , , , , , , , , PO BOX 24004, , NEWARK, NJ, 071010406, US, 2018042800, 2018048883, 310 MADISON AVE, SUITE 301, MORRISTOWN, NJ, 079606967, US, 9739989200, , 06/28/2005, 03/23/2016, , , , , RUDMAN, MICHAEL, E, PRESIDENT, 9739716824, 174400000X, , , Y, 332B00000X, , NJ, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8122709, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1467459008, 2, , <UNAVAIL>, MEDFORD CONVALESCENT & NURSING CENTER, , , , , , , MEDFORD CARE CENTER, 3, , , , , , , , 185 TUCKERTON RD, , MEDFORD, NJ, 080558803, US, 8569838500, 8569838965, 185 TUCKERTON RD, , MEDFORD, NJ, 080558803, US, 8569838500, 8569838965, 06/28/2005, 06/27/2008, , , , , PINELES, RICHARD, , PRESIDENT, 2014897400, 314000000X, 060313, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 03140, 01, NJ, NJ, 4466209, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1962409516, 2, , <UNAVAIL>, GREGORY SURGICAL SERVICES LLC, , , , , , , , , , , , , , , , 550 NEWARK AVE, FL 5, JERSEY CITY, NJ, 073061326, US, 2017950205, 2017950737, 550 NEWARK AVE, FL 5, JERSEY CITY, NJ, 073061326, US, 2017950205, 2017950737, 06/28/2005, 07/08/2007, , , , , ROMERO, AMAURY, , ADMINISTRATOR, 2017950205, 261QA1903X, 80193, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7679807, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1962409532, 2, , <UNAVAIL>, GUPTA PHARMACY INC, , , , , , , PASTOR PHARMACY, 3, , , , , , , , 543 GRAND AVE, , ENGLEWOOD, NJ, 076314934, US, 2015689378, 2015689226, 543 GRAND AVE, , ENGLEWOOD, NJ, 076314934, US, 2015689378, 2015689226, 06/28/2005, 03/23/2015, , , , , GUPTA, LAYAK, , PIC, 2015689378, 333600000X, , , N, 3336C0003X, 28RS00354100, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4355407, 05, NJ, , 2057944, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1053318667, 2, , <UNAVAIL>, OXY-MED HOMECARE EQUIPMENT CORP., , , , , , , , , , , , , , , , 501 SPRUCE ST, , TRENTON, NJ, 086383935, US, 6093934949, 6093933009, 501 SPRUCE ST, , TRENTON, NJ, 086383935, US, 6093934949, 6093933009, 06/29/2005, 08/31/2011, , , , , KHAN, SHON, M, MANAGING DIRECTOR, 6093934949, 332B00000X, =========, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0002668000, 01, NJ, KEYSTONE 65, 49452, 01, NJ, AMERIGROUP, 0002668000, 01, PA, KEYSTONE HEALTH PLAN EAST, 0002668000, 01, NJ, KEYSTONE HEALTH PLAN EAST, 45802, 01, NJ, AETNA USHC, 200011, 01, NJ, PERSONAL CHOICE BCBS, 228782324, 01, NJ, CONSUMER HEALTH NETWORK, 56733, 01, NJ, NORTHWOOD NPN, 3315100, 05, NJ, , 0002668000, 01, NJ, AMERIHEALTH, 0002668000, 01, PA, AMERIHEALTH, ME0000090-00, 01, NJ, AMERICHOICE, 0002668000, 01, PA, KEYSTONE 65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1336146893, 2, , <UNAVAIL>, GREGORY ANESTHESIA SERVICES LLC, , , , , , , GREGORY ANESTHESIA SERVICES LLC, 5, , , , , , , , 550 NEWARK AVE, FL 5TH, JERSEY CITY, NJ, 073061326, US, 2017950205, 2017950737, 550 NEWARK AVE, FL 5TH, JERSEY CITY, NJ, 073061326, US, 2017950205, 2017950737, 06/30/2005, 07/09/2007, , , , , ROMERO, AMAURY, , ADMINISTRATOR, 2017950205, 174400000X, , NJ, X, 367H00000X, , NJ, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7995008, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1568469088, 2, , <UNAVAIL>, MONMOUTH ANESTHESIA ASSOCIATES, , , , , , , , , , , , , , , , PO BOX 1637, , ELIZABETH, NJ, 072071637, US, 2018042800, , 300 2ND AVE, , LONG BRANCH, NJ, 077406303, US, 7322225200, , 06/30/2005, 07/08/2007, , , , , FLASHBURG, MICHAEL, H, PRESIDENT, 7322225200, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1811994338, 2, , <UNAVAIL>, PALISADES GENERAL CARE INC, , , , , , , THE HARBORAGE, 3, , , , , , , , 7600 RIVER RD, , NORTH BERGEN, NJ, 070476217, US, 2018548873, , 7600 RIVER RD, , NORTH BERGEN, NJ, 070476217, US, 2018548873, , 06/30/2005, 07/09/2007, , , , , RYAN, SHAWN, , CFO, 2018548873, 314000000X, 060907, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4653009, 05, NJ, , 4653025, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1194722694, 2, , <UNAVAIL>, RIVERVIEW MEDICAL ASSOCIATES PA, , , , , , , , , , , , , , , , PO BOX 249, , RED BANK, NJ, 077010249, US, 7327413600, 7327416079, 4 HARTFORD DR STE 1, , TINTON FALLS, NJ, 077014945, US, 7327413600, 7327416079, 06/30/2005, 07/23/2009, , , , , DROUT, DAVID, I, PRESIDENT, 7327413600, 207R00000X, NON REQUIRED, NJ, Y, 207RC0000X, NONE REQUIRED, NJ, N, 207RG0100X, NONE REQUIRED, NJ, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6440908, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
1144227646, 2, , <UNAVAIL>, SAMARITAN HEALTHCARE & HOSPICE INC, , , , , , , , , , , , , , , , 5 EVES DRIVE, SUITE 300, MARLTON, NJ, 080533101, US, 8565961600, 8565522224, 5 EVES DRIVE, SUITE 300, MARLTON, NJ, 080533101, US, 8565961600, 8565522224, 06/30/2005, 10/02/2012, , , , , IVINS, MARJORIE, , CHIEF OPERATING OFFICE, 8565961600, 251G00000X, 22819, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0097501, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN,  BSN, , , , , , , , , , , , , , , , 
