1982607933, 2, , <UNAVAIL>, ADR LLC, , , , , , , , , , , , , , , , PO BOX 808, , CUMBERLAND, MD, 215010808, US, 3017241646, 3017247429, 952 SETON DR, , CUMBERLAND, MD, 215021950, US, 3017773522, 3017771902, 05/23/2005, 08/16/2010, , , , , KIM, JONG, K, PRESIDENT, 3017241646, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DA5555, 01, , RAILROAD MEDICARE, 403741300, 05, MD, , 001586989, 01, WV, MT ST BS, 216A, 01, MD, MD BLUE SHIELD, 0201927000, 05, WV, , J249, 01, MD, MD BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1295731768, 2, , <UNAVAIL>, FINE BRYANT & WAH INC, , , , , , , , , , , , , , , , 4714 GETTYSBURG RD, LEGAL DEPARTMENT, MECHANICSBURG, PA, 170554325, US, 7179721100, 7179759981, 1215 ANNAPOLIS RD, SUITE 204, ODENTON, MD, 211131344, US, 4107600772, 4107600777, 06/21/2005, 08/31/2010, , , , , TARVIN, MICHAEL, E., VICE PRESIDENT, 7179721100, 261QP2000X, , MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1942206420, 2, , <UNAVAIL>, COLLEGE PARK VOLUNTEER FIRE DEPARTMENT INC, , , , , , , , , , , , , , , , PO BOX 726, , NEW CUMBERLAND, PA, 170700726, US, 7172146018, 7172146020, 8115 BALTIMORE AVE, , COLLEGE PARK, MD, 207402431, US, 3019019112, 3019019115, 06/21/2005, 07/08/2007, , , , , PIRINGER, PETER, , PRESIDENT, 3019019112, 3416L0300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1194721514, 2, , <UNAVAIL>, RIGGS PEDIATRIC CENTER, , , , , , , , , , , , , , , , 1835 UNIVERSITY BLVD E, STE 316, HYATTSVILLE, MD, 207834672, US, 3014343700, , 1835 UNIVERSITY BLVD E, STE 316, HYATTSVILLE, MD, 207834672, US, 3014343700, , 06/21/2005, 01/31/2008, , , , , BAGHAI, FARIBA, , MEDICAL DIRECTOR, 3014343700, 208000000X, D0044970, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 299702, 01, MD, UNITED HEALTHCARE, KBD1R1, 01, MD, BC/BS OF MARYLAND, 23790001, 01, DC, BC DC/METRO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1538165527, 2, , <UNAVAIL>, FREDERICK MEMORIAL HOSPITAL INC, , , , , , , , , , , , , , , , PO BOX 277045, , ATLANTA, GA, 303847045, US, 2405663300, 2405663892, 400 W 7TH ST, , FREDERICK, MD, 217014506, US, 2405663300, 2405663892, 06/23/2005, 03/13/2014, , , , , MAHAN, MICHELLE, K, SR. VP AND CFO, 2405663355, 261Q00000X, , , N, 261QI0500X, , , N, 261QX0203X, , , N, 282N00000X, 10001, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GN-4, 01, , CAREFIRST BCBS GHMSI, 6310365, 01, , AETNA PIN, 211417, 01, , UNITED MAMSI, 482770, 01, , NCPPO, 5000066, 01, , UNITED, 4020106, 01, , CIGNA, 0249, 01, , CAREFIRST MARYLAND, 60286, 01, , AETNA PVN, 000235600, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1548266547, 2, , <UNAVAIL>, BALTIMORE MEDICAL SYSTEM INC, , , , , , , , , , , , , , , , 3501 SINCLAIR LN, , BALTIMORE, MD, 212132029, US, 4107328800, 4103271693, 3700 FLEET ST, SUITE 200, BALTIMORE, MD, 212244230, US, 4105584888, , 06/23/2005, 06/14/2017, , , , , SUTTON, SHIRLEY, , PRESIDENT AND CEO, 4105584891, 261QF0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 376751500, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1619973617, 2, , <UNAVAIL>, PATEL RAMANAN AND ASSOCIATES P.A., , , , , , , , , , , , , , , , 3575 OLD WASHINGTON RD, STE A, WALDORF, MD, 206023269, US, 3016459650, 3016450774, 3575 OLD WASHINGTON RD, STE A, WALDORF, MD, 206023269, US, 3016459650, 3016450774, 06/23/2005, 03/12/2014, , , , , PATEL, SURESH, A, DOCTOR, 3016459650, 207R00000X, D46478, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1003812124, 2, , <UNAVAIL>, MONTGOMERY FOOT AND ANKLE ASSOCIATES, , , , , , , , , , , , , , , , 2730 UNIVERSITY BLVD W, SUITE 1000, WHEATON, MD, 209021905, US, 3019493668, 3019498833, 2730 UNIVERSITY BLVD W, SUITE 1000, WHEATON, MD, 209021905, US, 3019493668, 3019498833, 06/23/2005, 04/14/2008, , , , , SPECTOR, ADAM, , OWNER, 3015898886, 213ES0103X, 01072, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CH2860, 01, , RAILROAD MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1619973609, 2, , <UNAVAIL>, NOVACARE OUTPATIENT REHABILITATION, , , , , , , NOVACARE OUTPATIENT REHABILITATION, 3, , , , , , , , 4716 OLD GETTYSBURG RD., LEGAL DEPARTMENT, MECHANICSBURG, PA, 170554325, US, 7179754503, 7179759981, 6565 N CHARLES ST, STE 514, TOWSON, MD, 212046800, US, 4108280600, 4108285099, 06/23/2005, 03/11/2008, , , , , TARVIN, MICHAEL, E., DIRECTOR OF REGULATORY AFFAIRS, 7179754503, 261QP2000X, , MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1992701825, 2, , <UNAVAIL>, CIVISTA MEDICAL CENTER INC., , , , , , , , , , , , , , , , PO BOX 1070, 701 EAST CHARLES STREET, LA PLATA, MD, 206461070, US, 3016094474, 3016094411, 5 GARRETT AVE, , LA PLATA, MD, 206465960, US, 3016094474, 3016094411, 06/24/2005, 04/20/2008, , , , , HARVEY, MELINDA, A, DIRECTOR PFS, 3016094474, 282NR1301X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1306842174, 2, , <UNAVAIL>, FREDERICK MEMORIAL HOSPITAL INC, , , , , , , FMH HOME HEALTH SERVICES, 3, , , , , , , , PO BOX 1093, , FREDERICK, MD, 217020093, US, 2405663222, 2405663961, 605 E CHURCH ST, , FREDERICK, MD, 217015705, US, 2405663222, 2405663033, 06/24/2005, 03/13/2014, , , , , MAHAN, MICHELLE, K, EXECUTIVEVICE PRESIDENT AND CFO, 2405663355, 251E00000X, HH7034, MD, Y, 251F00000X, HH7034, MD, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 210789, 01, , COVENTRY HEALTHCARE OF DE, NI6-0001, 01, , CAREFIRST BCBS GHMSI, 618032, 01, , NCPPO, 2371350, 01, , UNITED, 265325, 01, , UNITED MAMSI, 046063000, 05, MD, , BK14, 01, , CAREFIRST BCBS MARYLAND, 2152028, 01, , AETNA PVN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, FREDERICK MEMORIAL HOSPITAL INC, <UNAVAIL>, MS., , , , , , , , , , , , , , , , , , 
1861498826, 2, , <UNAVAIL>, FREDERICK MEMORIAL HOSPITAL INC, , , , , , , FMH HOME MEDICAL EQUIPMENT AND SUPPLIES, 3, , , , , , , , PO BOX 1093, , FREDERICK, MD, 217020093, US, 2405663099, 2405663091, 605 E CHURCH ST, , FREDERICK, MD, 217015705, US, 2405663099, , 06/24/2005, 03/02/2012, , , , , MAHAN, MICHELLE, K, SR VICE PRESIDENT AND CFO, 3016983350, 332B00000X, R1154, MD, Y, 332BX2000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y597, 01, , CAREFIRST BCBS MARYLAND, 1909290, 01, , UNITED, 210793, 01, , COVENTRY HEALTHCARE OF DE, 110378400, 05, MD, , 614933, 01, , NCPPO, F714, 01, , CAREFIRST BCBS GHMSI, 2102784, 01, , UNITED MAMSI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, FREDERICK MEMORIAL HOSPITAL INC, <UNAVAIL>, MS., , , , , , , , , , , , , , , , , , 
1205832268, 2, , <UNAVAIL>, FREDERICK MEMORIAL HOSPITAL INC, , , , , , , HOSPICE OF FREDERICK COUNTY OR FREDERICK MEMORIAL HC, 3, , , , , , , , PO BOX 1093, , FREDERICK, MD, 217020093, US, 2405663030, , 516 TRAIL AVE, , FREDERICK, MD, 217014933, US, 2405663030, , 06/24/2005, 03/13/2014, , , , , MAHAN, MICHELLE, K, EXECUTIVE VICE PRESIDENT AND CFO, 2405663355, 251G00000X, H1516, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2021614, 01, , AETNA PVN, HE1, 01, , CAREFIRST BCBS GHMSI, 212765207, 05, MD, , 1736051, 01, , UNITED, 210785, 01, , COVENTRY, 546023-01, 01, , CAREFIRST BCBS MARYLAND, 707384, 01, , NCPPO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, FREDERICK MEMORIAL HOSPITAL INC, <UNAVAIL>, MS., , , , , , , , , , , , , , , , , , 
1588660385, 2, , <UNAVAIL>, FREDERICK J SAUERBURGER MD PA, , , , , , , , , , , , , , , , 11345 PEMBROOKE SQUARE, STE 105, WALDORF, MD, 20603, US, 3018433120, 3016454740, 11345 PEMBROOKE SQUARE, STE 105, WALDORF, MD, 20603, US, 3018433120, 3016454740, 06/27/2005, 06/16/2008, , , , , SAUERBURGER, FREDERICK, J, PRESIDENT, 3018433120, 152W00000X, 212291000, MD, N, 207W00000X, KN29, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , KN29FR, 01, MD, CAREFIRST OF MD, 212291000, 05, MD, , 8185, 01, DC, CAREFIRST OF DC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1255337002, 2, , <UNAVAIL>, MARK SIVIERI M.D. P.A., , , , , , , , , , , , , , , , 10005 OLD COLUMBIA RD, SUITE P170, COLUMBIA, MD, 210461702, US, 4103125280, , 10005 OLD COLUMBIA RD, SUITE P170, COLUMBIA, MD, 210461702, US, 4103125280, , 06/27/2005, 10/18/2013, , , , , DUDLEY, LYNN, MARIE, OFFICE MANAGER, 4103125280, 207Q00000X, D0061704, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , PA-C, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1578569240, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU -NEUROSURGERY, 3, , , , , , , , PO BOX 64286, , BALTIMORE, MD, 212644286, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109337462, , 06/27/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 207T00000X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CD6081, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1295731966, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU - UROLOGY, 3, , , , , , , , PO BOX 64255, , BALTIMORE, MD, 212644255, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109333201, , 06/27/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 208800000X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CD6091, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1013913789, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU -ORTHOPAEDIC SURGERY, 3, , , , , , , , PO BOX 64664, , BALTIMORE, MD, 212644664, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109335300, , 06/27/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 207X00000X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CD6082, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1922004696, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU - OTOLARYNGOLOGY HEAD & NECK SURGERY, 3, , , , , , , , PO BOX 64588, , BALTIMORE, MD, 212644588, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109336401, , 06/27/2005, 10/19/2011, , , , , TAYLOR, WAN-FANG, , DIRECTOR A/R OPERATIONS, 4109332063, 207Y00000X, =========, MD, Y, 231H00000X, =========, MD, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 766631400, 05, MD, , CA9023, 01, MD, RRMC, 795538300, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1831195502, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU - REHAB MEDICINE, 3, , , , , , , , PO BOX 64407, , BALTIMORE, MD, 212644407, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4105324701, , 06/27/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 208100000X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CA7788, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1740286418, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU - ANESTHESIOLOGY, 3, , , , , , , , PO BOX 64382, , BALTIMORE, MD, 212644382, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109335474, , 06/27/2005, 04/20/2008, , , , , AMORIELLO, PATRICIA, , DIRECTOR CPA AR, 4109336422, 207L00000X, =========, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CA9045, 01, MD, RRMC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, MRS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1659377323, 2, , <UNAVAIL>, JOHNS HOPKINS UNIVERSITY, , , , , , , JHU - DERMATOLOGY, 3, , , , , , , , PO BOX 64252, , BALTIMORE, MD, 212644252, US, , , 600 N WOLFE ST, , BALTIMORE, MD, 212870005, US, 4109331169, , 06/27/2005, 10/27/2016, , , , , MULDERRIG, MICHAEL, , DIRECTOR CPA AR, 4109336247, 207N00000X, =========, MD, Y, 207ND0101X, =========, MD, N, 207NP0225X, =========, MD, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CA4935, 01, MD, RRMC, 795731900, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, JOHNS HOPKINS UNIVERSITY, <UNAVAIL>, , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
1417953217, 2, , <UNAVAIL>, FREDERICK MEMORIAL HOSPITAL INC, , , , , , , FMH TRANSITIONAL CARE UNIT, 3, , , , , , , , PO BOX 277045, , ATLANTA, GA, 303847045, US, 2405663330, 2405663892, 400 W 7TH ST, , FREDERICK, MD, 217014506, US, 2405663400, , 06/27/2005, 03/05/2008, , , , , PUGH, WILLIAM, H, EXECUTIVE VICE PRESIDENT AND CFO, 2405663355, 314000000X, 10-006, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , PX1, 01, , CAREFIRST BCBS GHMSI, 1049874, 01, , AETNA PVN, 2137545, 01, , UNITED MAMSI, 6N, 01, , CAREFIRST BCBS MARYLAND, 2367245, 01, , UNITED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, FREDERICK MEMORIAL HOSPITAL INC, <UNAVAIL>, MR., , , , , , , , , , , , , , , , , , 
1144226945, 2, , <UNAVAIL>, FREDERICK MEMORIAL HOSPITAL INC, , , , , , , FMH COMMUNITY PHARMACY, 3, , , , , , , , 400 W 7TH ST, , FREDERICK, MD, 217014506, US, 2405663341, 2405663359, 400 W 7TH ST, , FREDERICK, MD, 217014506, US, 2405663341, 2405663359, 06/27/2005, 03/05/2008, , , , , PUGH, WILLIAM, H, EXECUTIVE VICE PRESIDENT AND CFO, 2405663350, 333600000X, P02332, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 231851, 01, , PERFORMANCE PLUS NETWORK, 2123228, 01, , NABP NCPDP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, FREDERICK MEMORIAL HOSPITAL INC, <UNAVAIL>, MR., , , , , , , , , , , , , , , , , , 
