1528061553, 2, , <UNAVAIL>, DAYWEST HEALTHCARE SERVICES, , , , , , , HIGHLAND CARE CENTER, 3, , , , , , , , 4285 HIGHLAND DR, , SALT LAKE CITY, UT, 841242603, US, 8012782839, 8012726109, 4285 HIGHLAND DR, , SALT LAKE CITY, UT, 841242603, US, 8012782839, 8012726109, 05/23/2005, 06/17/2008, , , , , MURRAY, JASON, , ADMINISTRATOR, 8012782839, 314000000X, 2004-NCF-49, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 870304091006, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1245230820, 2, , <UNAVAIL>, RHA COMMUNITY SERVICES OF UTAH, , , , , , , BUNGALOW CARE CENTER, 3, , , , , , , , 645 S 1300 E, , SALT LAKE CITY, UT, 841023206, US, 8015821457, 8015823901, 645 S 1300 E, , SALT LAKE CITY, UT, 841023206, US, 8015821457, 8015823901, 07/26/2005, 04/20/2008, , , , , HUGHES, JACKLYNN, IVY, ADMINISTRATOR, 8015828097, 315P00000X, 2004-NCF-22, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========048, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1477553451, 2, , <UNAVAIL>, B & W OXYGEN AND EQUIPMENT, , , , , , , , , , , , , , , , 1964 E 1275 N, , LAYTON, UT, 840408226, US, 8015445033, , 1964 E 1275 N, , LAYTON, UT, 840408226, US, 8015445033, , 07/29/2005, 03/18/2008, , , , , BUCK, SANDRA, GARNER, OWNER, 8015445033, 332B00000X, 167, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 51852031000001, 01, UT, UPIN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1346240447, 2, , <UNAVAIL>, HUNTER IMAGING ASSOCIATES LLC, , , , , , , , , , , , , , , , PO BOX 1169, , BOUNTIFUL, UT, 840111169, US, 8012962113, 8012961715, 3460 PIONEER PKWY, , WEST VALLEY CITY, UT, 841202049, US, 8019643100, 8019643100, 07/29/2005, 04/20/2008, , , , , BOOTH, EDGAR, , PRESIDENT, 8012962113, 2085R0202X, 5708575, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7129844, 05, WA, , =========001, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1396745378, 2, , <UNAVAIL>, RHA COMMUNITY SERVICES OF UTAH, , , , , , , EAST SIDE CENTER, 3, , , , , , , , 642 UNIVERSITY ST, , SALT LAKE CITY, UT, 841023213, US, 8015822195, 8015823901, 642 UNIVERSITY ST, , SALT LAKE CITY, UT, 841023213, US, 8015822195, 8015823901, 07/29/2005, 04/20/2008, , , , , HUGHES, JACKLYNN, IVY, ADMINISTRATOR, 8015828097, 315P00000X, 2004-SHCF-158, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========065, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1598766545, 2, , <UNAVAIL>, F CRAIG HAZEN INC, , , , , , , MEDICINE SHOPPE, 3, , , , , , , , 2562 MONROE BLVD, , OGDEN, UT, 844012514, US, 8013991151, 8013991154, 2562 MONROE BLVD, , OGDEN, UT, 844012514, US, 8013991151, 8013991154, 08/02/2005, 12/11/2007, , , , , HAZEN, F, CRAIG, OWNER/PRESIDENT, 8013991151, 333600000X, 3272591703, UT, N, 3336C0003X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 870282481003, 05, UT, , 4600474, 01, UT, NCPDP #, BT5115729, 01, UT, DEA #, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1386645398, 2, , <UNAVAIL>, MARK R ELKINS DPM PC, , , , , , , , , , , , , , , , 4019 W 12600 S, SUITE 120, RIVERTON, UT, 840967302, US, 8012536886, 8012536888, 4019 W 12600 S, SUITE 120, RIVERTON, UT, 840967302, US, 8012536886, 8012536888, 08/02/2005, 08/17/2010, , , , , ELKINS, MARK, R, PRESIDENT, 8012536886, 213E00000X, 13128, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5346948-0501, 01, UT, PROFESSIONAL LICENSE, 5346948-8907, 01, UT, CONTROLLED SUBSTANCE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1760483747, 2, , <UNAVAIL>, ODYSSEY HEALTHCARE OPERATING A LP, , , , , , , ODYSSEY HEALTHCARE OF SALT LAKE CITY, 3, , , , , , , , 717 N HARWOOD ST, STE 1500, DALLAS, TX, 752016538, US, 2149229711, 2149229752, 3949 SOUTH 700 EAST, SUITE 110, SALT LAKE CITY, UT, 84107, US, 8012938700, 8012938701, 08/02/2005, 04/20/2008, , , , , CANNON, DOUGLAS, B, SR VP & CFO, 2149229711, 251G00000X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========001, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1417958398, 2, , <UNAVAIL>, ODYSSEY HEALTHCARE OPERATING A LP, , , , , , , ODYSSEY HEALTHCARE OF ST GEORGE, 3, , , , , , , , 717 N HARWOOD ST, SUITE 1500, DALLAS, TX, 752016519, US, 2149229711, 2149229752, 720 S RIVER RD, SUITE D2105, ST GEORGE, UT, 847905590, US, 4356744744, 4359860066, 08/02/2005, 04/20/2008, , , , , ALLISON, RODNEY, DIRK, SR VP & CFO, 2149229711, 251G00000X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========002, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1396746095, 2, , <UNAVAIL>, CARING HANDS HOSPICE, , , , , , , HEALTH WATCH SERVICES INC. DBA CARING HANDS HOSPICE, 3, , , , , , , , 3579 N 2175 E, , LAYTON, UT, 840402427, US, 8017713964, 8017713988, 3579 N 2175 E, , LAYTON, UT, 840402427, US, 8017713964, 8017713988, 08/03/2005, 08/11/2008, , , , , KROEGER, MARY, , OWNERADMINISTRATOR, 8017713964, 251G00000X, 2003-HOSPICE-33822, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========011, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN, , , , , , , , , , , , , , , , 
1740281526, 2, , <UNAVAIL>, UTAH IMAGING ASSOCIATES, , , , , , , , , , , , , , , , PO BOX 1369, , BOUNTIFUL, UT, 840111369, US, 8012962113, 8012961715, 1200 E 3900 S, , SALT LAKE CITY, UT, 841241300, US, 8012687111, , 08/03/2005, 07/08/2007, , , , , PALMER, BRETT, , ADMINISTRATOR, 8012981300, 207X00000X, 2005180, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1689675340, 2, , <UNAVAIL>, WILLOW WOOD CARE CENTER INC, , , , , , , , , , , , , , , , 206 N 2100 W, , SALT LAKE CITY, UT, 841164740, US, 8013250153, 8015969001, 1205 E 4725 S, , SALT LAKE CITY, UT, 841174917, US, 8012622908, 8012622963, 08/03/2005, 12/19/2012, , , , , LINCOLN, FAYE, , VP,  POLICY/GOVERNMENT RELATIONS, 8013250153, 314000000X, 2004-NCF-481, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========007, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1548261290, 2, , <UNAVAIL>, CENTRAL UTAH RADIOLOGY INC, , , , , , , , , , , , , , , , 48 W 1500 N, , NEPHI, UT, 846488900, US, 4356233000, , 48 W 1500 N, , NEPHI, UT, 846488900, US, 4356233000, , 08/03/2005, 08/04/2014, , , , , VAIL, CONNIE, MITCHELL, PRESIDENT, 4356233000, 2085R0202X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========001, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1912908534, 2, , <UNAVAIL>, TOOELE ORTHOPEDICS & SPORTS MEDICINE SPECIALISTS, , , , , , , , , , , , , , , , 1929 AARON DR, SUITE L, TOOELE, UT, 840748112, US, 4358339180, , 1929 AARON DR, SUITE L, TOOELE, UT, 840748112, US, 4358339180, , 08/04/2005, 04/20/2008, , , , , DOUGLAS, JOHN, ANTONI, PRESIDENT, 4358339180, 207X00000X, =========, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DO, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1215938469, 2, , <UNAVAIL>, WILLOW CREEK HEALTH CARE, , , , , , , WILLOW CREEK HOME CARE, 3, , , , , , , , 1935 VINE ST, SUITE 420, SALT LAKE CITY, UT, 841212192, US, 8012819669, 8012810179, 1935 VINE ST, SUITE 420, SALT LAKE CITY, UT, 841212192, US, 8012819669, 8012810179, 08/09/2005, 07/31/2007, , , , , OSBORNE, TRACE, D, ADMINISTRATOR CFO, 8012819669, 251E00000X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , CPA, , , , , , , , , , , , , , , , 
1891796140, 2, , <UNAVAIL>, MOUNTAIN VALLEY EYE INSTITUTE PC, , , , , , , , , , , , , , , , 2700 HOMESTEAD RD, , PARK CITY, UT, 840984857, US, (435) 615-0435, 4356583094, 2700 HOMESTEAD RD, , PARK CITY, UT, 840984857, US, 4356583090, 4356583094, 08/09/2005, 06/29/2017, , , , , FASSIO, JOHN, B, PRESIDENT, 4356150435, 207W00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1043212988, 2, , <UNAVAIL>, LOGAN RADIOLOGY GROUP LLC, , , , , , , , , , , , , , , , PO BOX 1108, , BOUNTIFUL, UT, 840111108, US, 8012962113, 8012961715, 1400 N 500 E, , LOGAN, UT, 843412455, US, 2819801430, , 08/11/2005, 04/20/2015, , , , , HOPKINS, C, RICHARD, PRESIDENT, 8012962113, 2085R0202X, =========, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========000, 05, UT, , 002979600, 05, ID, , 119042300, 05, WY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1225030810, 2, , <UNAVAIL>, FRIENDSHIP VILLA CARE CENTER INC, , , , , , , , , , , , , , , , PO BOX 65007, , SALT LAKE CITY, UT, 841650007, US, 8014877887, 8014663634, 3094 S STATE ST, , SALT LAKE CITY, UT, 841153834, US, 8014877887, 8014663634, 08/12/2005, 11/20/2008, , , , , MATJASICH, WALTER, , PRESIDENT, 8014660966, 313M00000X, 6170, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========008, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1326030487, 2, , <UNAVAIL>, UTAH MEDICAL PRODUCTS INC, , , , , , , , , , , , , , , , 7043 SOUTH 300 WEST, , MIDVALE, UT, 84047, US, 8667549789, 8015667305, 7043 SOUTH 300 WEST, , MIDVALE, UT, 84047, US, 8667549789, 8015667305, 08/16/2005, 03/05/2008, , , , , RICHINS, PAUL, O, VICE PRESIDENT, 8015694200, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1487646360, 2, , <UNAVAIL>, NATIONAL DURABLE MEDICAL EQUIPMENT INC, , , , , , , NATIONAL DME, 5, , , , , , , , 7757 S. ALLEN STREET, , MIDVALE, UT, 84047, US, 8006441968, 8015663493, 7757 S. ALLEN STREET, , MIDVALE, UT, 84047, US, 8006441968, 8015663493, 08/17/2005, 10/09/2012, , , , , COTTIS, J., SCOTT, CEO, 8006441968, 332BX2000X, , UT, N, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1386636280, 2, , <UNAVAIL>, IRON COUNTY HOME HEALTH AGENCY, , , , , , , , , , , , , , , , 965 S MAIN ST, SUITE 4, CEDAR CITY, UT, 847204383, US, 4355863939, 4355868275, 429 W 400 S, , CEDAR CITY, UT, 847203199, US, 4355863939, 4355868275, 08/17/2005, 07/09/2009, , , , , PRINCE, MAREE, K, ADMINISTRATOR, 4355863939, 251E00000X, MPRN 2004-HHA-139, UT, Y, 376J00000X, 2004-HHA-139, UT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 87-6000310005, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RN BSN, , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1053303990, 2, , <UNAVAIL>, ASHDOWN SURGICAL PC, , , , , , , , , , , , , , , , 950 S 500 W, #104, BRIGHAM CITY, UT, 843024724, US, 4357231114, 4357231173, 950 S 500 W, #104, BRIGHAM CITY, UT, 843024724, US, 4357231114, 4357231173, 08/17/2005, 04/20/2008, , , , , ASHDOWN, JAN, MICHAEL, PRESIDENT, 4357231114, 208600000X, =========, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1043202518, 2, , <UNAVAIL>, BALLARD MEDICAL PRODUCTS, , , , , , , BALLARD MEDICAL LABORATORY SERVICES, 5, , , , , , , , 12050 LONE PEAK PKWY, , DRAPER, UT, 840209414, US, 8015726800, , 12050 LONE PEAK PKWY, , DRAPER, UT, 840209414, US, 8015726800, , 08/19/2005, 04/20/2008, , , , , DYE, TIMOTHY, D, GENERAL MANAGER, 8015726800, 291U00000X, LN-2003-0038, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , A1960874, 01, , OXFORD HEALTH PLAN, 2277628, 01, , AETNA, 7494105, 01, , AETNA, =========01001, 01, UT, REGENCE BCBS OF UTAH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1437141702, 2, , <UNAVAIL>, DEBRA LYNN'S LLC, , , , , , , , , , , , , , , , 1090 30TH ST, , OGDEN, UT, 844030784, US, 8013932885, 8013932885, 1090 30TH ST, , OGDEN, UT, 844030784, US, 8013932885, 8013932885, 08/22/2005, 02/04/2010, , , , , CARTER, DEBRA, LYNN, OWNER MEMBER, 8017452819, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1588656870, 2, , <UNAVAIL>, UNIVERSITY OF UTAH, , , , , , , UNIVERSITY HEALTH CARE HOSPITALS AND CLINICS, 3, , , , , , , , PO BOX 511258, , LOS ANGELES, CA, 900517813, US, 8015876760, 8015876675, 50 N MEDICAL DR, , SALT LAKE CITY, UT, 841320100, US, 8015812121, , 08/22/2005, 04/10/2013, , , , , DELIS, KATHY, , REVENUE CYCLE DIRECT, 8015876760, 261QD0000X, 2006-HOSP-208, UT, N, 282N00000X, 2004-HOSP-208, UT, Y, 3416A0800X, 3001L, UT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1003809369, 2, , <UNAVAIL>, A-PLUS HOME CARE LLC, , , , , , , A-PLUS HOME CARE & HOSPICE, 3, , , , , , , , 1443 N 1200 W, , OREM, UT, 840572449, US, 8012250990, 8012254067, 1443 N 1200 W, , OREM, UT, 840572449, US, 8012250990, 8012254067, 08/23/2005, 07/08/2007, , , , , SULLIVAN, DON, RICHARD, ADMINISTRATOR, 8012250990, 251E00000X, , UT, X, 251G00000X, , UT, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , REGISTERED NURSE, , , , , , , , , , , , , , , , 
