1720081763, 2, , <UNAVAIL>, TOWNE & COUNTRY PHARMACY FLORIST & GIFTS INC, , , , , , , , , , , , , , , , PO BOX 364, 675 EAST HWY 60, HARDINSBURG, KY, 401430364, US, 2707562151, 2707565199, 675 EAST HWY 60, , HARDINSBURG, KY, 401430675, US, 2707562151, 2707565199, 05/23/2005, 05/03/2017, , , , , WILLOUGHBY, LAURA, GAYLE, PHARMACIST, 2707562151, 183500000X, P06296, KY, N, 332BX2000X, MG0340, KY, Y, 333600000X, P06296, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90050147, 05, KY, , 000000189330, 01, KY, ANTHEM, 1071411, 01, KY, PASSPORT, 54032560, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RPH, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1982609640, 2, , <UNAVAIL>, AFFILIATES IN PATHOLOGY SC, , , , , , , , , , , , , , , , 100 FOUNTAIN AVE, STE 300, PADUCAH, KY, 420012771, US, 2704429519, 3146314491, 1530 LONE OAK RD, , PADUCAH, KY, 420037901, US, 2704429519, 3146314491, 06/17/2005, 04/20/2008, , , , , SPREI, STANLEY, , PRESIDENT/PROVIDER, 2704429519, 207ZP0102X, =========, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 000000317622, 01, KY, BCBS KY PIN, DC1348, 01, KY, MEDICARE RAILROAD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1396740015, 2, , <UNAVAIL>, DEWEY L. DEAN MD PHD PSC, , , , , , , , , , , , , , , , PO BOX 22408, , SAINT LOUIS, MO, 631260408, US, 2703660755, 3148460635, 810 EAST VINE STREET, , MURRAY, KY, 42071, US, 2707621100, 2707522290, 06/17/2005, 07/07/2014, , , , , DEAN, DEWEY, L, OWNER/PATHOLOGIST, 2707522270, 207ZP0102X, , KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 64088081, 05, KY, , DC0699, 01, KY, MEDICARE RAILROAD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D.,  PHD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1053316596, 2, , <UNAVAIL>, FAMILY PRACTICE ASSOCIATES OF LEXINGTON PSC, , , , , , , , , , , , , , , , 1775 ALYSHEBA WAY, STE 201, LEXINGTON, KY, 405092279, US, 8592785007, 8592786867, 1775 ALYSHEBA WAY, STE 201, LEXINGTON, KY, 405092279, US, 8592785007, 8592786867, 06/20/2005, 12/17/2014, , , , , REESOR, JOHN, E, CEO, 8599772120, 207Q00000X, , , Y, 207R00000X, , , N, 363L00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65915993, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , 
1588669022, 2, , <UNAVAIL>, CORNER HOMECARE INC, , , , , , , , , , , , , , , , 108 E WASHINGTON ST, , PRINCETON, KY, 424452250, US, 2703653903, 2703652024, 108 E WASHINGTON ST, , PRINCETON, KY, 424452250, US, 2703653903, 2703652024, 06/20/2005, 08/10/2009, , , , , PPOOL, STEVEN, K, PRESIDENT, 2703653903, 332B00000X, =========, KY, N, 332BP3500X, =========, KY, N, 332BX2000X, =========, KY, Y, 333600000X, =========, KY, N, 3336C0003X, =========, KY, N, 3336H0001X, =========, KY, N, 3336L0003X, =========, KY, N, 335E00000X, =========, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 45902913, 05, KY, , 54005178, 05, KY, , 90020173, 05, KY, , 1079693, 05, KY, , 54024286, 05, KY, , =========001, 05, IL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1699770198, 2, , <UNAVAIL>, ORTHOPAEDIC SERVICES OF PADUCAH INC, , , , , , , , , , , , , , , , PO BOX 50591, , NASHVILLE, TN, 372050591, US, 6156043068, 6152983762, 2021 BROADWAY ST, STE 2, PADUCAH, KY, 420017107, US, 2704440948, 2705753369, 06/20/2005, 07/08/2007, , , , , GARRETT, SHANNON, B, PRESIDENT, 2704440948, 332B00000X, , KY, X, 335E00000X, , KY, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90140732, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., , , , , , , , , , , , , , , , , , 
1134125685, 2, , <UNAVAIL>, CITY OF PAINTSVILLE OFFICE OF TREASURER, , , , , , , , , , , , , , , , PO BOX 589, , MADISONVILLE, KY, 424315011, US, 2708248123, , 116 MAIN ST, , PAINTSVILLE, KY, 412401162, US, 6067897376, , 06/21/2005, 02/23/2018, , , , , RATLIFF, RICHARD, A., EMS DIRECTOR, 6067897376, 3416L0300X, 1192, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 000000070468, 01, KY, ANTHEM, 56006562, 05, KY, , 7362, 01, KY, CHA INSURANCE, 55058093, 05, KY, , 1514533, 01, KY, UMWA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , CHIEF, , , , , , , , , , , , , , , , 
1992701429, 2, , <UNAVAIL>, SAINT JOSEPH HEALTH SYSTEM INC, , , , , , , SAINT JOSEPH LONDON, 3, , , , , , , , 1001 SAINT JOSEPH LN, , LONDON, KY, 407418345, US, 6063306000, 6063306020, 1001 SAINT JOSEPH LN, , LONDON, KY, 407418345, US, 6063306000, 6063306020, 06/21/2005, 06/22/2011, , , , , BROCK, ROBERT, , VP FINANCE, 6068773710, 282NR1301X, 100281, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1022185, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1063418473, 2, , <UNAVAIL>, WESTERN KENTUCKY HEART & CHEST SURGERY, , , , , , , , , , , , , , , , 2601 KENTUCKY AVE, STE 300, PADUCAH, KY, 420033826, US, 2704435564, 2704435549, 2601 KENTUCKY AVE, STE 300, PADUCAH, KY, 420033826, US, 2704435564, 2704435549, 06/22/2005, 04/20/2008, , , , , HOWE, W, ROBIN, PRESIDENT, 2704435564, 208G00000X, =========, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1558367797, 2, , <UNAVAIL>, ELIZABETH H OTTMAN PSC, , , , , , , OHIO VALLEY OB GYN ASSOCIATES, 3, , , , , , , , 2851 NEW HARTFORD RD, STE B, OWENSBORO, KY, 423031320, US, 2706886035, 2706886056, 2851 NEW HARTFORD RD, STE B, OWENSBORO, KY, 423031320, US, 2706886035, 2706886056, 06/22/2005, 03/30/2015, , , , , OTTMAN, ELIZABETH, HAWKINS, PRESIDENT, 2706886035, 207V00000X, , , Y, 367A00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65900300, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , 
1801892179, 2, , <UNAVAIL>, LINDA A MUNFORD PSC, , , , , , , , , , , , , , , , 922 TRIPLETT ST, STE 4, OWENSBORO, KY, 423033118, US, 2709264175, 2706869507, 922 TRIPLETT ST, STE 4, OWENSBORO, KY, 423033118, US, 2709264175, 2706869507, 06/22/2005, 07/08/2007, , , , , MUMFORD, LINDA, A, PRESIDENT, 2709264175, 207Y00000X, 23427, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1205832342, 2, , <UNAVAIL>, CORNER HOMECARE INC, , , , , , , CORNER HOMECARE INC, 3, , , , , , , , 108 E WASHINGTON ST, , PRINCETON, KY, 424452250, US, 2703653903, 2703652693, 546 LONE OAK RD, , PADUCAH, KY, 420034538, US, 2704433311, 2704427710, 06/23/2005, 08/17/2011, , , , , PPOOL, STEVEN, K, PRESIDENT, 2703653903, 332B00000X, =========, KY, N, 332BP3500X, =========, KY, N, 332BX2000X, =========, KY, Y, 333600000X, =========, KY, N, 3336C0003X, =========, KY, N, 3336H0001X, =========, KY, N, 3336L0003X, =========, KY, N, 335E00000X, =========, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 54029509, 05, KY, , 54005335, 05, KY, , 90310731, 05, KY, , =========002, 05, IL, , 45001559, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1114923257, 2, , <UNAVAIL>, CORNER HOMECARE INC, , , , , , , THE PHARMACY CORNER, 3, , , , , , , , 108 E WASHINGTON ST, , PRINCETON, KY, 424452250, US, 2703653903, 2703652024, 700 CASSIDY AVE, , FREDONIA, KY, 424119207, US, 2705453413, 2705453427, 06/23/2005, 04/20/2008, , , , , PPOOL, STEVEN, K, PRESIDENT, 2703653903, 332BP3500X, =========, KY, N, 332BX2000X, =========, KY, N, 333600000X, =========, KY, N, 3336L0003X, =========, KY, N, 3336C0003X, =========, KY, Y, 3336H0001X, =========, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 54004320, 05, KY, , 90005554, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1821094962, 2, , <UNAVAIL>, CORNER HOMECARE INC, , , , , , , THE PHARMACY CORNER, 3, , , , , , , , 108 E WASHINGTON ST, , PRINCETON, KY, 424452250, US, 2703653903, 2703652693, 5010 BACK SQUARE DR, , OWENSBORO, KY, 423017413, US, 2706867000, 2709264448, 06/23/2005, 08/18/2008, , , , , PPOOL, STEVEN, K, PRESIDENT, 2703653903, 332B00000X, =========, KY, N, 332BP3500X, =========, KY, N, 332BX2000X, =========, KY, Y, 333600000X, =========, KY, N, 3336C0003X, =========, KY, N, 3336H0001X, =========, KY, N, 3336L0003X, =========, KY, N, 335E00000X, =========, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 200439840A, 05, IN, , =========003, 05, IL, , 90180514, 05, KY, , 200413900B, 05, IN, , 450018230, 05, KY, , 54001896, 05, KY, , 54005491, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1164428256, 2, , <UNAVAIL>, WINDING RIVER HEALTH CARE PSC, , , , , , , , , , , , , , , , 815 E PARRISH AVE, STE 420, OWENSBORO, KY, 423033222, US, 2708526600, 2708526611, 815 E PARRISH AVE, STE 420, OWENSBORO, KY, 423033222, US, 2708526600, 2708526611, 06/23/2005, 07/08/2007, , 03/14/2007, 05/09/2007, , WIELAND, RUTH, M, CO OWNER, 2706833073, 207R00000X, 34921, KY, N, 207R00000X, 34118, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65933574, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1750387858, 2, , <UNAVAIL>, MERCY HEALTH PARTNERS LOURDES INC, , , , , , , LOURDES INC - SKILLED NURSING, 3, , , , , , , , 1530 LONE OAK RD, , PADUCAH, KY, 420037901, US, 2704442163, 2704442460, 1530 LONE OAK RD, , PADUCAH, KY, 420037901, US, 2704442163, 2704442460, 06/23/2005, 08/23/2007, , , , , DEMPSEY, JOHN, F, CFO, 2704442553, 314000000X, 100754, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , BS MBA FHFMA, , , , , , , , , , , , , , , , 
1619973682, 2, , <UNAVAIL>, BLUEGRASS INTERNAL MEDICINE PLLC, , , , , , , , , , , , , , , , 3346 PROFESSIONAL PARK, , OWENSBORO, KY, 423034551, US, 2706851066, 2706850881, 3346 PROFESSIONAL PARK DR, , OWENSBORO, KY, 423034551, US, 2706851066, 2706850881, 06/24/2005, 04/25/2012, , , , , JARVIS, ANGELA, LOUISE, PRESIDENT, 2706851066, 207R00000X, , , Y, 363A00000X, , , N, 363L00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65935470, 05, KY, , 78902251, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , 
1477559128, 2, , <UNAVAIL>, COMMONWEALTH DERMATOLOGY PSC, , , , , , , , , , , , , , , , 2351 HUGUENARD DR, STE 200, LEXINGTON, KY, 405033022, US, 8592760191, 8592770466, 2351 HUGUENARD DR, STE 200, LEXINGTON, KY, 405033022, US, 8592760191, 8592770466, 06/27/2005, 04/20/2008, , , , , SEDORIS, DIANE, C, ADM ASSISTANT, 8592760191, 207N00000X, =========, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1255337952, 2, , <UNAVAIL>, DANIEL L FRENCH PSC, , , , , , , , , , , , , , , , 11490 SPRINGFIELD PIKE, , CINCINNATI, OH, 452463524, US, 5136723309, 5136723323, 5940 MERCHANT DR, , FLORENCE, KY, 410421158, US, 5136723309, 5136723323, 06/27/2005, 04/20/2008, , , , , FRENCH, DANIEL, LOGAN, PRESIDENT, 5136723309, 207Q00000X, =========, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65942716, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1649276361, 2, , <UNAVAIL>, BAER CHIROPRACTIC INC, , , , , , , DR. ANDREW J. BAER D C, 5, , , , , , , , 2240 TAYLORSVILLE RD, , LOUISVILLE, KY, 402052146, US, 5024799885, 5024799875, 2240 TAYLORSVILLE RD, , LOUISVILLE, KY, 402052146, US, 5024799885, 5024799875, 06/27/2005, 10/23/2007, , , , , BAER, ANDREW, J, PRESIDENT/DOCTOR CHIROPRACTOR, 5024799885, 111N00000X, 4711, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 000000354203, 01, KY, ANTHEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , DC, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1508863184, 2, , <UNAVAIL>, SAMARITAN ALLIANCE L.L.C., , , , , , , SAMARITAN HOSPITAL, 3, , , , , , , , 310 S LIMESTONE, , LEXINGTON, KY, 405083008, US, 8592267000, 8592267154, 310 S LIMESTONE, , LEXINGTON, KY, 405083008, US, 8592267000, 8592267154, 06/28/2005, 07/08/2007, , , , , HILL, JEANNIE, , CONTRACTS MGR, 8592267105, 282N00000X, 100104, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 01000397, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , BS CHFM, , , , , , , , , , , , , , , , 
1346246907, 2, , <UNAVAIL>, SKYLINE MEDICAL EQUIPMENT, , , , , , , , , , , , , , , , PO BOX 249, , THELMA, KY, 412600249, US, 6067897730, , 818 S MAYO TRL, , PAINTSVILLE, KY, 412401384, US, 6067897730, , 06/28/2005, 07/09/2007, , , , , DANIEL, JERRY, NEIBERT, OWNER, 6067897730, 332B00000X, , , X, 332BX2000X, MG0500, KY, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90240581, 05, KY, , 00000360319, 01, KY, ANTHEM BCBS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1346247962, 2, , <UNAVAIL>, JACKSON HOSPITAL CORPORATION, , , , , , , KENTUCKY RIVER MEDICAL CENTER, 3, , , , , , , , 540 JETTS DRIVE, , JACKSON, KY, 413399622, US, 6066666000, 6066666102, 540 JETT DR, , JACKSON, KY, 413399622, US, 6066666000, 6066666102, 06/29/2005, 04/27/2016, , , , , RICHARDSON, TARA, P, AUTHORIZED OFFICIAL, 6152213672, 282N00000X, 100620, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1891792362, 2, , <UNAVAIL>, ALLENS AMBULANCE SERVICE INC, , , , , , , , , , , , , , , , PO BOX 83, 83 MAIN STREET, BOONEVILLE, KY, 413140083, US, 6065935849, 6065935237, 83 MAIN STREET, , BOONEVILLE, KY, 41314, US, 6065935849, 6065935237, 06/30/2005, 07/27/2007, , , , , CAMPBELL, PATRICIA, ANN, OFFICE MANAGER, 6065935849, 3416L0300X, 1302, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 55095020, 05, KY, , 56003379, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1558368969, 2, , <UNAVAIL>, COUNTY OF NELSON, , , , , , , , , , , , , , , , PO BOX 578, , BARDSTOWN, KY, 400040578, US, 5023484929, 5023482852, 1301 ATKINSON HILL AVE, , BARDSTOWN, KY, 400047770, US, 5023484929, 5023482852, 06/30/2005, 01/24/2013, , , , , WARD, WANDA, F, OFFICE MANAGER, 5023484929, 3416L0300X, 1363, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 56022601, 05, KY, , 1166649, 05, KY, , 55000723, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
